"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,404.26696,0,1.61618574435691e-09,"Sig","Sig"
7,"ABCO",1236,706.13368,0,8.44284017760324e-07,"Sig","Sig"
13,"ABCO",1166,817.24438,0.019191648999104,6.26046372424852e-05,"Sig","Sig"
18,"ABCO",1556,906.13334,0.00276374339846111,1.85458628174739e-05,"Sig","Sig"
23,"ABCO",1276,1003.02212,0.0878353486853366,0.00041921748832347,"NS","Sig"
28,"ABCO",1064,1101.86654,0.419748548945081,0.228303068798373,"NS","NS"
28,"ABMA",4,0.888889,0,1,"Sig","NS"
1,"CADE",208,45.688926,0,3.64810499485569e-10,"Sig","Sig"
7,"CADE",208,54.399998,0,1.0437688268206e-07,"Sig","Sig"
13,"CADE",208,56.177792,0,1.67142904282663e-08,"Sig","Sig"
18,"CADE",208,59.02224,0,1.3786124854866e-07,"Sig","Sig"
23,"CADE",249,59.377812,0,1.32648075080497e-08,"Sig","Sig"
28,"CADE",247,56.533334,0,5.65787733555521e-08,"Sig","Sig"
1,"PILA",358,84.9777276,0,1.72584858415357e-11,"Sig","Sig"
7,"PILA",342,82.311142,0,2.26933148577074e-09,"Sig","Sig"
13,"PILA",258,75.199986,0,1.8150637257785e-07,"Sig","Sig"
18,"PILA",232,70.3999656,0,6.08892519672528e-07,"Sig","Sig"
23,"PILA",157,66.844444,0,2.79720913811661e-06,"Sig","Sig"
28,"PILA",143,62.9333656,0,1.28674687862748e-05,"Sig","Sig"
1,"QUKE",68,1.777778,0,1,"Sig","NS"
7,"QUKE",68,1.9555558,0,3.1498888078197e-10,"Sig","Sig"
13,"QUKE",68,1.9555558,0,3.1498888078197e-10,"Sig","Sig"
18,"QUKE",61,1.9555558,0,4.9308178316348e-10,"Sig","Sig"
23,"QUKE",73,1.9555558,0,2.35246270498999e-10,"Sig","Sig"
28,"QUKE",64,1.777778,0,1,"Sig","NS"
