"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,264.1274,0,6.47061681204796e-06,"Sig","Sig"
6,"ABCO",298,547.84542,0,7.08228923495533e-07,"Sig","Sig"
11,"ABCO",2919,628.75266,0,1.08497404680236e-09,"Sig","Sig"
16,"ABCO",716,698.77546,0.278339585707966,0.122844672452859,"NS","NS"
21,"ABCO",314,780.77102,0,3.56425846328422e-06,"Sig","Sig"
1,"CADE",1408,728.8888,0,2.96372394948397e-09,"Sig","Sig"
6,"CADE",1260,819.773,0,4.96645482031888e-07,"Sig","Sig"
11,"CADE",1528,857.8682,0,1.5047961439885e-08,"Sig","Sig"
16,"CADE",4656,882.177,0,4.00610858897121e-10,"Sig","Sig"
21,"CADE",1058,909.388,0.0263644586603391,0.000145830057903928,"Sig","Sig"
1,"PILA",146,62.947872,0,5.76912737846716e-09,"Sig","Sig"
6,"PILA",136,60.22674,0,1.65583959801197e-07,"Sig","Sig"
11,"PILA",154,55.32882,0,3.35351075827217e-07,"Sig","Sig"
16,"PILA",212,51.156468,0,2.64265282109366e-09,"Sig","Sig"
21,"PILA",222,45.895708,0,1.96922874695503e-08,"Sig","Sig"
1,"PIPO",94,43.35601,0,1.10536659195997e-06,"Sig","Sig"
6,"PIPO",64,44.263088,0.139188260344979,0.00133810613032521,"NS","Sig"
11,"PIPO",97,40.090696,0.00283505333935341,3.32472879129252e-05,"Sig","Sig"
16,"PIPO",96,34.829954,9.45778790872043e-05,2.56014581941663e-05,"Sig","Sig"
21,"PIPO",64,30.839066,0.209260340238086,0.00109443352847247,"NS","Sig"
1,"QUCH",84,6.167804,0,1.77053687071112e-10,"Sig","Sig"
6,"QUCH",80,5.623586,0,2.12324287028465e-10,"Sig","Sig"
11,"QUCH",112,5.623586,0,5.07420531297594e-11,"Sig","Sig"
21,"QUCH",114,4.353744,0,1.61821999652807e-09,"Sig","Sig"
1,"QUKE",620,306.757414,0,9.07853428833848e-09,"Sig","Sig"
6,"QUKE",554,301.31544,0,4.38979602793425e-08,"Sig","Sig"
11,"QUKE",1074,287.52818,0,5.56497933564892e-09,"Sig","Sig"
16,"QUKE",1010,272.290484,0,1.26713347482516e-10,"Sig","Sig"
21,"QUKE",502,262.67565,0,1.20269653045498e-07,"Sig","Sig"
