"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,1.9941967,0,0.452589967932006,"Sig","NS"
6,"ABCO",2.4531120768,2.0420889,0.0926728481617653,0.00859947560265476,"NS","Sig"
12,"ABCO",2.764403796,1.928819668,0.114095749917119,0.000590821247428511,"NS","Sig"
17,"ABCO",2.9168098806,1.985427676,0.0895517799245711,0.000429492641352018,"NS","Sig"
22,"ABCO",3.1693803834,2.04921172,0.0520765312395534,0.000238995919742598,"NS","Sig"
27,"ABCO",3.1810207968,1.97614918,0.238367069960342,0.00130551117298121,"NS","Sig"
32,"ABCO",2.799051717,2.04528666,0.884554255646152,0.00802354652789355,"NS","Sig"
17,"CADE",0.0429527406,0.003317932,0,1.25892754723056e-07,"Sig","Sig"
22,"CADE",0.0852543846,0.004155164,0,1.59106654104702e-08,"Sig","Sig"
27,"CADE",0.1486031778,0.0051114,0,2.72927956254327e-09,"Sig","Sig"
32,"CADE",0.2165748354,0.005930168,0,1.95916929433065e-09,"Sig","Sig"
1,"PIJE",15.837382869,15.4083592,0.0227832647255124,0.000166810281237371,"Sig","Sig"
6,"PIJE",14.924775558,14.6707272,0.0217798815107149,0.576865123126425,"Sig","NS"
12,"PIJE",13.4641726758,14.5372588,0.891165269264634,0.162228210389906,"NS","NS"
17,"PIJE",13.3585167408,14.0429304,0.370743138360174,0.432640132862204,"NS","NS"
22,"PIJE",12.6331731372,14.1799818,0.779617563511112,0.123746750376,"NS","NS"
27,"PIJE",11.72548105575,14.103371,0.0394830914712441,0.0656808202721631,"Sig","NS"
32,"PIJE",12.124942368,14.412621,0.414290612691581,0.0767703949349349,"NS","NS"
1,"PILA",1.2702792564,1.27609,0,1,"Sig","NS"
6,"PILA",1.307463234,0.83150226,0.0100000000000007,0.176614431734952,"Sig","NS"
12,"PILA",0.1791191094,0.84710404,0.125787632862025,0.0845725603956354,"NS","NS"
17,"PILA",0.2190197856,0.86931713,0.0218626094509031,0.0944071388706143,"Sig","NS"
22,"PILA",0.253735251,0.86171258,0.0255484916866258,0.105237956141297,"Sig","NS"
27,"PILA",0.1941336012,0.62675151,0.0271906320593054,0.245914911271959,"Sig","NS"
32,"PILA",0.2190904716,0.6425531254,0.0107903694657643,0.260736778587566,"Sig","NS"
1,"QUKE",0.1866534516,0.1894289,0,1,"Sig","NS"
6,"QUKE",0.2005550316,0.1945235,0,0.54196720212108,"Sig","NS"
12,"QUKE",0.2375222388,0.20229748,0.732270207775901,0.0198028279784066,"NS","Sig"
17,"QUKE",0.2624005692,0.20514488,0.541302751437319,0.0204524892678758,"NS","Sig"
22,"QUKE",0.296468865,0.2135353,0.372340695800405,0.00432247131083491,"NS","Sig"
27,"QUKE",0.333892240374,0.22279524,0.123450933907666,0.00112659336476499,"NS","Sig"
32,"QUKE",0.387661659,0.2256983,0.0598785664152433,0.000600527318698441,"NS","Sig"
