"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",39.8128530357684,13.213174,0,4.10664274798543e-10,"Sig","Sig"
7,"ABCO",40.0922667679693,13.37895,0,1.21037295849208e-08,"Sig","Sig"
13,"ABCO",38.2628026521734,13.297898,0,9.45815322844541e-08,"Sig","Sig"
18,"ABCO",41.3628425580136,13.528284,0,3.12435089928672e-08,"Sig","Sig"
23,"ABCO",36.7710965314624,13.772058,0,1.01401252022066e-07,"Sig","Sig"
28,"ABCO",34.8471078648,13.973566,0,2.32925088947242e-07,"Sig","Sig"
28,"ABMA",0.0513777264,0.0269284,0,1,"Sig","NS"
1,"CADE",5.30694234872994,2.2616236,0,1.46845227213681e-09,"Sig","Sig"
7,"CADE",5.59943232804898,2.08106294,0.00371701311317801,5.42843598989987e-05,"Sig","Sig"
13,"CADE",5.9690752853676,2.11129474,0.00285898800347917,4.35338236573011e-05,"Sig","Sig"
18,"CADE",6.3429422775454,2.1335174,0,3.21905928058842e-05,"Sig","Sig"
23,"CADE",6.74161128197944,2.12619582,0,3.44722803666142e-05,"Sig","Sig"
28,"CADE",7.1695341102,2.0349248,0,2.60024016545327e-05,"Sig","Sig"
1,"PILA",28.925281243563,12.5652184,0,3.83924161899938e-07,"Sig","Sig"
7,"PILA",29.3543496913482,11.1037526,0,3.5133161468289e-06,"Sig","Sig"
13,"PILA",23.7891858553067,10.5889364,0.0306163671785602,0.000152636725644174,"Sig","Sig"
18,"PILA",24.3772380398364,10.4474826,0.0387072837067145,0.000185394511224251,"Sig","Sig"
23,"PILA",22.9420109028899,9.1697656,0.016309437478949,0.000179322501400876,"Sig","Sig"
28,"PILA",23.7742684872,8.8631642,0.0235078265316813,0.000342521180317425,"Sig","Sig"
1,"QUKE",0.0468334004967445,0.028075683,0,1,"Sig","NS"
7,"QUKE",0.0500865287885017,0.0302407936,0,6.26593155777392e-09,"Sig","Sig"
13,"QUKE",0.0606587963648973,0.032588528,0,6.45683539080271e-09,"Sig","Sig"
18,"QUKE",0.0381028930445755,0.03462828,0.00541855049176393,7.41351074692046e-05,"Sig","Sig"
23,"QUKE",0.0413913653667776,0.03674396,0.00243920752378937,5.71675949893053e-05,"Sig","Sig"
28,"QUKE",0.0474397308,0.031402496,0,0.0980009900596256,"Sig","NS"
