"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",8.225156478,8.249526,0.944909650132636,0.451904032175307,"NS","NS"
6,"ABCO",8.5584417534,8.390378,0.15047373336918,0.0954416546417245,"NS","NS"
11,"ABCO",8.60228985,8.595506,0.738309750225548,0.923734359435735,"NS","NS"
16,"ABCO",9.553299294,8.689432,0.0859519295972219,0.000489053553146423,"NS","Sig"
21,"ABCO",10.69337808,8.69675,0.0384401970997467,0.000136793085813996,"Sig","Sig"
1,"CADE",26.3069525796,26.984268,0.321680701230791,0.0021315255388583,"NS","Sig"
6,"CADE",27.5409322188,27.276274,0.260630153036515,0.0975885356919764,"NS","NS"
11,"CADE",29.414679063,27.571038,0.0292919819016773,8.62609519002513e-05,"Sig","Sig"
16,"CADE",30.9835171338,28.040604,0.0161343257104664,0.00010233172408409,"Sig","Sig"
21,"CADE",31.682969241,28.233982,0.0276816576287091,0.000109955056322987,"Sig","Sig"
1,"PILA",1.5657506634,2.0082674,0.00957712422753762,7.04463460943883e-05,"Sig","Sig"
6,"PILA",1.6803483774,1.966747,0.719951612379839,0.00621090773894633,"NS","Sig"
11,"PILA",1.975410591,1.8736396,0.20103624364705,0.100949882310947,"NS","NS"
16,"PILA",2.3077156872,1.8735456,0.0463976897321954,0.000398582581790424,"Sig","Sig"
21,"PILA",2.5689467958,1.8229234,0.172040636725806,0.00137438150584662,"NS","Sig"
1,"PIPO",17.41989711,15.7849298,0.0416980014859337,0.000240711610878356,"Sig","Sig"
6,"PIPO",11.3079959916,13.569523,0.728605027926377,0.0141307729677656,"NS","Sig"
11,"PIPO",11.6126039568,11.99590028,0.552164271267372,0.337391830745113,"NS","NS"
16,"PIPO",11.661556368,10.39113116,0.223771867611921,0.140632634312205,"NS","NS"
21,"PIPO",12.0437901276,8.56313446,0.570785147638603,0.00828852376196509,"NS","Sig"
1,"QUCH",0.083079612,0.0766093306,0,9.93069568162276e-09,"Sig","Sig"
6,"QUCH",0.0370166874,0.0799212126,0.0432536005476022,0.000212492858636009,"Sig","Sig"
11,"QUCH",0.0210078792,0.079481391,0.0111062085252084,0.00017933500934344,"Sig","Sig"
21,"QUCH",0.0176605044,0.071684126,0.174405969777476,0.0197907201280766,"NS","Sig"
1,"QUKE",15.1782367044,14.7063774,0.097184640689003,0.000692399097665555,"NS","Sig"
6,"QUKE",14.6855364348,14.723379,0.228906656598797,0.569098664712066,"NS","NS"
11,"QUKE",14.9033325672,14.7749336,0.625446652958344,0.138845137153239,"NS","NS"
16,"QUKE",15.429069117,14.5703526,0.38572895047226,0.00261336783381499,"NS","Sig"
21,"QUKE",15.3179185236,14.6135666,0.783142847845363,0.00752724796836019,"NS","Sig"
