"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,268.6628,0,1.97549776228138e-06,"Sig","Sig"
6,"ABCO",298,514.82964,0,1.63506489225663e-05,"Sig","Sig"
11,"ABCO",2919,610.06828,0,8.39601289744324e-10,"Sig","Sig"
16,"ABCO",716,695.14742,0.830960938176335,0.0118100056803471,"NS","Sig"
21,"ABCO",314,782.94814,0,2.15918461542097e-07,"Sig","Sig"
1,"CADE",1408,725.44208,0,2.44830286176131e-09,"Sig","Sig"
6,"CADE",1260,824.1272,0,2.46740439835877e-07,"Sig","Sig"
11,"CADE",1528,865.4876,0,3.96352156307311e-07,"Sig","Sig"
16,"CADE",4656,886.3492,0,2.52895780663759e-10,"Sig","Sig"
21,"CADE",1058,928.4354,0.051648966739239,0.000234797685062242,"NS","Sig"
1,"PILA",146,62.222254,0,2.58404029810837e-08,"Sig","Sig"
6,"PILA",136,58.049908,0,1.05406523280685e-06,"Sig","Sig"
11,"PILA",154,53.514764,0,1.1156470218172e-06,"Sig","Sig"
16,"PILA",212,48.43536,0,1.12759960303336e-07,"Sig","Sig"
21,"PILA",222,44.80726,0,3.3679637518375e-08,"Sig","Sig"
1,"PIPO",94,44.263092,0,8.6026117547483e-07,"Sig","Sig"
6,"PIPO",64,44.08165,0.0372660047815512,0.00024674921284392,"Sig","Sig"
11,"PIPO",97,39.909298,0,5.49353615605545e-07,"Sig","Sig"
16,"PIPO",96,35.73698,0,1.56743943729813e-06,"Sig","Sig"
21,"PIPO",64,33.015882,0,5.69935222617754e-07,"Sig","Sig"
1,"QUCH",84,6.167804,0,1.77053687071112e-10,"Sig","Sig"
6,"QUCH",80,5.986398,0,3.46387404608047e-09,"Sig","Sig"
11,"QUCH",112,5.44218,0,3.14974627566464e-10,"Sig","Sig"
21,"QUCH",114,4.716556,0,8.3004223346724e-09,"Sig","Sig"
1,"QUKE",620,304.76201,0,2.99715030961154e-09,"Sig","Sig"
6,"QUKE",554,300.58974,0,1.17876450594144e-08,"Sig","Sig"
11,"QUKE",1074,290.43056,0,1.64015840099056e-09,"Sig","Sig"
16,"QUKE",1010,271.5648,0,2.51074723225032e-09,"Sig","Sig"
21,"QUKE",502,260.680276,0,3.77132524228895e-07,"Sig","Sig"
