"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",0.0190373106,0.007637668,0,1.42396890490248e-06,"Sig","Sig"
15,"PICO",0.022427097,0.007668516,0.105139682628789,0.00160765544488124,"NS","Sig"
19,"PICO",0.035197701,0.008939822,0.0300065465537991,0.000320528526545266,"Sig","Sig"
24,"PICO",0.0519958362,0.01068316,0.0123024850180643,0.000111101363008752,"Sig","Sig"
29,"PICO",0.103346859,0.01183424,0,7.63335094624811e-06,"Sig","Sig"
1,"PIMO",16.1649999126,13.9752864,0,6.49198406230239e-08,"Sig","Sig"
5,"PIMO",13.1327684334,12.7804108,0,0.800797625540024,"Sig","NS"
10,"PIMO",11.2881402942,12.4116274,0.0904873218162263,0.480842605372875,"NS","NS"
15,"PIMO",10.3510630608,12.3516136,0.206897034623659,0.290780981338348,"NS","NS"
19,"PIMO",13.8338227566,12.592175,0.011728020862895,0.493974990600157,"Sig","NS"
24,"PIMO",14.941689147,12.6678414,0.00294095045813053,0.231138775279602,"Sig","NS"
29,"PIMO",15.3791812944,12.6492336,0.0197255702808944,0.201966557113253,"Sig","NS"
