"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",38,31,0.460814078241949,0.00463583941790441,"NS","Sig"
6,"ABCO",38,75,0,2.83967516867579e-05,"Sig","Sig"
12,"ABCO",38,92.4,0.0621557468445998,0.000349065717749283,"NS","Sig"
17,"ABCO",210,102,0,2.07003267492643e-05,"Sig","Sig"
22,"ABCO",42,112.8,0.0231014155474271,0.000103780405675445,"Sig","Sig"
27,"ABCO",36,131,0.0378178949297434,0.000211021119539732,"Sig","Sig"
32,"ABCO",24,138.8,0.0322014276246601,0.000143593111000862,"Sig","Sig"
17,"CADE",10,2.4,0.00100529100529104,4.52021310794096e-05,"Sig","Sig"
22,"CADE",20,2.2,0,3.42534068337149e-06,"Sig","Sig"
27,"CADE",25,2.2,0,1.27496665106442e-06,"Sig","Sig"
32,"CADE",30,2,0,3.8979914409579e-07,"Sig","Sig"
1,"PIJE",324,140,0,2.56457956942858e-09,"Sig","Sig"
6,"PIJE",302,141,0,1.0971218999075e-06,"Sig","Sig"
12,"PIJE",270,141.2,0,8.51366271736896e-06,"Sig","Sig"
17,"PIJE",228,142.2,0,3.0198995656134e-05,"Sig","Sig"
22,"PIJE",208,137.4,0,1.74954037068231e-05,"Sig","Sig"
27,"PIJE",202,136.6,0,8.00669942690181e-06,"Sig","Sig"
32,"PIJE",196,135.6,0.0129990542357504,7.2836262483058e-05,"Sig","Sig"
1,"PILA",8,4,0,1,"Sig","NS"
6,"PILA",8,3,0.0302828838120337,9.34927463999446e-05,"Sig","Sig"
12,"PILA",6,3,0.172474490926429,0.00257026076539993,"NS","Sig"
17,"PILA",4,2.6,0.0100000000000007,0.0248961634602228,"Sig","Sig"
22,"PILA",4,2.2,0.0100000000000007,0.0213116411287567,"Sig","Sig"
27,"PILA",4,2,0.551052669237933,0.00319820215233531,"NS","Sig"
32,"PILA",4,1.8,0.551052669237933,0.0041810721356403,"NS","Sig"
1,"QUKE",202,16,0,1,"Sig","NS"
6,"QUKE",202,15.4,0,3.34525916814764e-10,"Sig","Sig"
12,"QUKE",200,14.4,0,3.41793820154628e-10,"Sig","Sig"
17,"QUKE",273,13.6,0,8.95791365717335e-11,"Sig","Sig"
22,"QUKE",195,12.4,0,3.99089577688717e-09,"Sig","Sig"
27,"QUKE",225,11.8,0,1.59007919117718e-09,"Sig","Sig"
32,"QUKE",248,11,0,7.60689722262695e-11,"Sig","Sig"
