"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,121.06713,0,1.42072829590547e-07,"Sig","Sig"
6,"ABMA",105.098893977,121.467408,0,3.40871159707294e-05,"Sig","Sig"
11,"ABMA",107.131277484,122.152092,0.0111393838393593,0.000108150943167892,"Sig","Sig"
16,"ABMA",107.9304031344,123.230368,0.0198450717577208,0.000184703636398873,"Sig","Sig"
21,"ABMA",109.6955095236,124.17946,0.160714532658078,0.000944892271215736,"NS","Sig"
1,"PICO",3.081968505,2.902027,0,1,"Sig","NS"
6,"PICO",3.1846619112,2.9761772,0.891331628524248,0.0208573893898106,"NS","Sig"
11,"PICO",2.6072719596,3.0404572,0.819888298212102,0.0109518283107852,"NS","Sig"
16,"PICO",2.7037732722,2.9617956,0.504961793403519,0.00321598987106202,"NS","Sig"
21,"PICO",2.6274677352,2.91133366,0.652346048000296,0.0451004649550129,"NS","Sig"
