"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",3288,1633.377122,0,3.49187403392725e-12,"Sig","Sig"
6,"ABMA",3116,1630.65822,0,2.74848351159055e-11,"Sig","Sig"
11,"ABMA",3576,1615.60156,0,1.75328072051266e-10,"Sig","Sig"
16,"ABMA",2725,1600.54474,0,1.0073434733681e-08,"Sig","Sig"
21,"ABMA",2462,1577.3239,0,8.32060545950615e-10,"Sig","Sig"
1,"PIMO",14,8.16327,0,1,"Sig","NS"
6,"PIMO",14,7.619052,0.00454941441154638,6.13810476490289e-05,"Sig","Sig"
11,"PIMO",14,7.25624,0.0248442739797644,0.00017049839907793,"Sig","Sig"
16,"PIMO",14,7.800458,0.0398376589176299,0.000179143900247948,"Sig","Sig"
21,"PIMO",10,7.619052,0.369449703336584,0.0319408739247527,"NS","Sig"
