"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",39.8128530357684,13.365736,0,5.07034024274673e-14,"Sig","Sig"
7,"ABCO",40.0922667679693,13.530302,0,2.44840333934598e-09,"Sig","Sig"
13,"ABCO",38.2628026521734,13.310722,0,1.04726930158088e-08,"Sig","Sig"
18,"ABCO",41.3628425580136,12.912916,0,9.84946698391769e-08,"Sig","Sig"
23,"ABCO",36.7710965314624,12.971034,0,8.28515592790399e-07,"Sig","Sig"
28,"ABCO",34.8471078648,13.117316,0,3.78291309906875e-06,"Sig","Sig"
28,"ABMA",0.0513777264,0.0279867,0,1,"Sig","NS"
1,"CADE",5.30694234872994,2.2608652,0,2.39246088656343e-09,"Sig","Sig"
7,"CADE",5.59943232804898,2.15627246,0,2.20699288223736e-05,"Sig","Sig"
13,"CADE",5.9690752853676,2.18825116,0.00537534889144933,4.5697620426138e-05,"Sig","Sig"
18,"CADE",6.3429422775454,2.1006285,0.00182208661529942,7.00935574969757e-05,"Sig","Sig"
23,"CADE",6.74161128197944,1.98196892,0,1.7809277418461e-05,"Sig","Sig"
28,"CADE",7.1695341102,2.0624882,0,1.39610633459006e-05,"Sig","Sig"
1,"PILA",28.925281243563,12.5365224,0,5.35186997905982e-07,"Sig","Sig"
7,"PILA",29.3543496913482,11.091678,0,3.65762532825536e-06,"Sig","Sig"
13,"PILA",23.7891858553067,10.048124,0,3.04657394931675e-05,"Sig","Sig"
18,"PILA",24.3772380398364,9.4769094,0,1.9942185508939e-05,"Sig","Sig"
23,"PILA",22.9420109028899,8.7826544,0,1.53010046410608e-05,"Sig","Sig"
28,"PILA",23.7742684872,8.5558878,0,3.4597580862244e-06,"Sig","Sig"
1,"QUKE",0.0468334004967445,0.028116754,0,1,"Sig","NS"
7,"QUKE",0.0500865287885017,0.030657511,0,1,"Sig","NS"
13,"QUKE",0.0606587963648973,0.033343564,0,1,"Sig","NS"
18,"QUKE",0.0381028930445755,0.03569281,0,1,"Sig","NS"
23,"QUKE",0.0413913653667776,0.03080301,0,0.222616794608383,"Sig","NS"
28,"QUKE",0.0474397308,0.03291224,0,0.135326345069678,"Sig","NS"
