"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",7.85896138,16.6972692457228
6,"ABCO",5.14242913,5.5057769151
7,"ABCO",13.577248,40.0922667679693
11,"ABCO",8.471638,8.60228985
12,"ABCO",1.91957982,2.764403796
13,"ABCO",13.725652,38.2628026521734
16,"ABCO",8.595204,9.553299294
17,"ABCO",1.81666606,2.9168098806
18,"ABCO",14.083544,41.3628425580136
21,"ABCO",8.467224,10.69337808
22,"ABCO",1.88665562,3.1693803834
23,"ABCO",14.33679,36.7710965314624
27,"ABCO",1.87670424,3.1810207968
28,"ABCO",14.47662,34.8471078648
32,"ABCO",1.87254576,2.799051717
1,"ABMA",107.620054,100.076744541416
6,"ABMA",109.070418,102.221860281212
11,"ABMA",110.189706666667,102.775325367944
16,"ABMA",111.380667333333,102.89944666155
21,"ABMA",112.563552,103.13073001
28,"ABMA",0.0279867,0.0513777264
1,"CADE",14.6642014,15.806947464165
6,"CADE",27.01281,27.5409322188
7,"CADE",2.1146836,5.59943232804898
11,"CADE",27.678552,29.414679063
13,"CADE",1.96065862,5.9690752853676
16,"CADE",27.491354,30.9835171338
17,"CADE",0.003710778,0.0429527406
18,"CADE",1.98782916,6.3429422775454
21,"CADE",27.75933,31.682969241
22,"CADE",0.004821044,0.0852543846
23,"CADE",2.03668256,6.74161128197944
27,"CADE",0.006244202,0.1486031778
28,"CADE",2.02062672,7.1695341102
32,"CADE",0.006984256,0.2165748354
1,"PICO",2.883611,3.081968505
6,"PICO",2.9334366,3.1846619112
10,"PICO",0.004829328,0.0190373106
11,"PICO",2.8344462,2.6072719596
15,"PICO",0.005671852,0.022427097
16,"PICO",2.8440422,2.7037732722
19,"PICO",0.004682806,0.035197701
21,"PICO",2.792927,2.6274677352
24,"PICO",0.005632756,0.0519958362
29,"PICO",0.006680516,0.103346859
1,"PIJE",15.2704756,15.837382869
6,"PIJE",15.1321284,14.924775558
12,"PIJE",14.8071668,13.4641726758
17,"PIJE",14.5237184,13.3585167408
22,"PIJE",14.2793464,12.6331731372
27,"PIJE",14.1079264,11.72548105575
32,"PIJE",13.5339254,12.124942368
1,"PILA",5.29513353333333,10.587103721121
6,"PILA",1.618600039,1.4939058057
7,"PILA",11.4451424,29.3543496913482
11,"PILA",1.6448486,1.975410591
12,"PILA",1.34594233,0.1791191094
13,"PILA",10.4973578,23.7891858553067
16,"PILA",1.4978726,2.3077156872
17,"PILA",1.132815562,0.2190197856
18,"PILA",9.6982906,24.3772380398364
21,"PILA",1.406462,2.5689467958
22,"PILA",1.10338955,0.253735251
23,"PILA",8.8141374,22.9420109028899
27,"PILA",0.871508476,0.1941336012
28,"PILA",8.1242686,23.7742684872
32,"PILA",0.893263748,0.2190904716
1,"PIMO",7.05144875,8.1503345616
5,"PIMO",11.7871784,13.1327684334
6,"PIMO",0.14503178,0.1492165752
10,"PIMO",11.6036942,11.2881402942
11,"PIMO",0.15673182,0.1615779858
15,"PIMO",11.698284,10.3510630608
16,"PIMO",0.17264232,0.1689607458
19,"PIMO",11.6200636,13.8338227566
21,"PIMO",0.16609428,0.1747664226
24,"PIMO",11.2437216,14.941689147
29,"PIMO",9.8129576,15.3791812944
1,"PIPO",15.5039882,17.41989711
6,"PIPO",13.521623,11.3079959916
11,"PIPO",12.0923778,11.6126039568
16,"PIPO",10.03380248,11.661556368
21,"PIPO",8.40204742,12.0437901276
1,"QUCH",0.076650603,0.083079612
6,"QUCH",0.066844083,0.0370166874
11,"QUCH",0.065335815,0.0210078792
21,"QUCH",0.0760229744,0.0176605044
1,"QUKE",4.997514518,5.13724118549891
6,"QUKE",7.43199663,7.4430457332
7,"QUKE",0.030657511,0.0500865287885017
11,"QUKE",14.5769994,14.9033325672
12,"QUKE",0.20997696,0.2375222388
13,"QUKE",0.033343564,0.0606587963648973
16,"QUKE",14.4592966,15.429069117
17,"QUKE",0.21241246,0.2624005692
18,"QUKE",0.02878169,0.0381028930445755
21,"QUKE",14.38145776,15.3179185236
22,"QUKE",0.21126202,0.296468865
23,"QUKE",0.03080301,0.0413913653667776
27,"QUKE",0.22287266,0.333892240374
28,"QUKE",0.02513034,0.0474397308
32,"QUKE",0.23267072,0.387661659
