"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.0300436,0,2.24687216535966e-06,"Sig","Sig"
15,"PICO",14,0.8583698,0,4.34356165724224e-06,"Sig","Sig"
19,"PICO",16,0.6866956,0,1.15759586834205e-06,"Sig","Sig"
24,"PICO",18,0.6866956,0,7.08907558394879e-07,"Sig","Sig"
29,"PICO",18,0.6866956,0,7.08907558394879e-07,"Sig","Sig"
1,"PIMO",226,81.030062,0,2.55019040247203e-08,"Sig","Sig"
5,"PIMO",226,81.201724,0,1.3700426081821e-08,"Sig","Sig"
10,"PIMO",216,84.12015,0,9.68311938743979e-08,"Sig","Sig"
15,"PIMO",220,84.120174,0,2.14898113306913e-08,"Sig","Sig"
19,"PIMO",387,88.755348,0,1.51128586621585e-08,"Sig","Sig"
24,"PIMO",422,90.128792,0,7.54063870675585e-09,"Sig","Sig"
29,"PIMO",456,93.218904,0,9.37044825051265e-09,"Sig","Sig"
