"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,2.06720414,0,9.34492539281168e-10,"Sig","Sig"
6,"ABCO",2.4531120768,2.04322626,0.103955644765912,0.00122371833033459,"NS","Sig"
12,"ABCO",2.764403796,1.91957982,0.177744217878295,0.00133833506587741,"NS","Sig"
17,"ABCO",2.9168098806,1.81666606,0.272225104505153,0.0028340207427069,"NS","Sig"
22,"ABCO",3.1693803834,1.88665562,0.18711582249753,0.00172204347629757,"NS","Sig"
27,"ABCO",3.1810207968,1.87670424,0.320104795014162,0.00344931122893265,"NS","Sig"
32,"ABCO",2.799051717,1.87254576,0.41401642778202,0.00714807429084359,"NS","Sig"
17,"CADE",0.0429527406,0.003710778,0,1.82829631292112e-07,"Sig","Sig"
22,"CADE",0.0852543846,0.004821044,0,2.26314726342976e-08,"Sig","Sig"
27,"CADE",0.1486031778,0.006244202,0,5.27740880247288e-09,"Sig","Sig"
32,"CADE",0.2165748354,0.006984256,0,3.12927763511466e-08,"Sig","Sig"
1,"PIJE",15.837382869,15.2704756,0.396484268230652,0.0161612699983311,"NS","Sig"
6,"PIJE",14.924775558,15.1321284,0.08719671104862,0.492494559836902,"NS","NS"
12,"PIJE",13.4641726758,14.8071668,0.650804506612961,0.0441469485473142,"NS","Sig"
17,"PIJE",13.3585167408,14.5237184,0.575378057580731,0.10095564564203,"NS","NS"
22,"PIJE",12.6331731372,14.2793464,0.913407166978019,0.0336434366781815,"NS","Sig"
27,"PIJE",11.72548105575,14.1079264,0.562603081085992,0.0114493696883475,"NS","Sig"
32,"PIJE",12.124942368,13.5339254,0.733860098112282,0.040359953037886,"NS","Sig"
1,"PILA",1.2702792564,1.276741,0,1,"Sig","NS"
6,"PILA",1.307463234,1.304686278,0,0.615946477668924,"Sig","NS"
12,"PILA",0.1791191094,1.34594233,0,3.40935939753334e-09,"Sig","Sig"
17,"PILA",0.2190197856,1.132815562,0.419393426555547,0.023073444119408,"NS","Sig"
22,"PILA",0.253735251,1.10338955,0.506621752252085,0.0262652681181434,"NS","Sig"
27,"PILA",0.1941336012,0.871508476,0.286388926810229,0.103283173266489,"NS","NS"
32,"PILA",0.2190904716,0.893263748,0.290808133644623,0.1092467909576,"NS","NS"
1,"QUKE",0.1866534516,0.1876608,0.018612902078379,0.65320607794428,"Sig","NS"
6,"QUKE",0.2005550316,0.19593506,0.0252790958626455,0.552040587991643,"Sig","NS"
12,"QUKE",0.2375222388,0.20997696,0.0947236139101275,0.044933351318045,"NS","Sig"
17,"QUKE",0.2624005692,0.21241246,0.559727231437234,0.011270461561533,"NS","Sig"
22,"QUKE",0.296468865,0.21126202,0.590769832595659,0.00783564139967742,"NS","Sig"
27,"QUKE",0.333892240374,0.22287266,0.395454271081779,0.00515175770560711,"NS","Sig"
32,"QUKE",0.387661659,0.23267072,0.269148358150863,0.0020934440315121,"NS","Sig"
