"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,105.733578,0.0138087633611336,5.0039074742471e-05,"Sig","Sig"
6,"ABMA",104.0460566376,106.907386,0.6273219550897,0.00351605990968377,"NS","Sig"
11,"ABMA",106.759052862,107.308772,0.153515275890308,0.322287412692529,"NS","NS"
16,"ABMA",109.51215691185,108.633894,0.760340005624007,0.42993207401375,"NS","NS"
21,"ABMA",111.230174055,109.361208,0.890473344445616,0.0431194414330581,"NS","Sig"
1,"PIMO",0.1356692106,0.1318369,0,1,"Sig","NS"
6,"PIMO",0.1492165752,0.14503178,0.397614994040584,0.0339838930804702,"NS","Sig"
11,"PIMO",0.1615779858,0.15673182,0.985710467005308,0.0841113187516929,"NS","NS"
16,"PIMO",0.1689607458,0.17264232,0.134423151242856,0.266555526115613,"NS","NS"
21,"PIMO",0.1747664226,0.16609428,0,0.743086199065277,"Sig","NS"
