"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,410.66692,0,5.75461985870797e-10,"Sig","Sig"
7,"ABCO",1236,717.68896,0,6.21679360678225e-07,"Sig","Sig"
13,"ABCO",1166,858.84438,0.00334838974213045,2.32765909676362e-05,"Sig","Sig"
18,"ABCO",1556,973.33346,0,1.58047070466964e-06,"Sig","Sig"
23,"ABCO",1276,1085.68874,0.0168684530545444,6.55995360615473e-05,"Sig","Sig"
28,"ABCO",1064,1189.8666,0.121748975896447,0.00052702687940803,"NS","Sig"
28,"ABMA",4,0.888889,0,1,"Sig","NS"
1,"CADE",208,45.6889278,0,9.97972117424416e-09,"Sig","Sig"
7,"CADE",208,52.977812,0,9.16173736307515e-08,"Sig","Sig"
13,"CADE",208,57.600016,0,1.3775070517782e-07,"Sig","Sig"
18,"CADE",208,58.133356,0,2.46027669072341e-07,"Sig","Sig"
23,"CADE",249,58.844456,0,4.93709332619236e-07,"Sig","Sig"
28,"CADE",247,57.955548,0,3.25305261991605e-07,"Sig","Sig"
1,"PILA",358,85.3333136,0,1.95813103828523e-09,"Sig","Sig"
7,"PILA",342,81.777814,0,4.32054468204511e-09,"Sig","Sig"
13,"PILA",258,76.0889138,0,1.10020323694027e-06,"Sig","Sig"
18,"PILA",232,70.399982,0,2.51392621023079e-06,"Sig","Sig"
23,"PILA",157,65.7777918,0,1.4574041416855e-05,"Sig","Sig"
28,"PILA",143,62.9333438,0,9.11221070541054e-06,"Sig","Sig"
1,"QUKE",68,1.9555558,0,3.1498888078197e-10,"Sig","Sig"
7,"QUKE",68,1.777778,0,1,"Sig","NS"
13,"QUKE",68,1.9555558,0,3.1498888078197e-10,"Sig","Sig"
18,"QUKE",61,1.6000002,0,4.81381784379032e-10,"Sig","Sig"
23,"QUKE",73,1.777778,0,1.45557372100058e-09,"Sig","Sig"
28,"QUKE",64,1.4222224,0,8.79282210328821e-10,"Sig","Sig"
