"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,273.9234,0.0144520610764588,9.66490559489669e-05,"Sig","Sig"
6,"ABCO",298,565.44166,0,4.98160691950389e-06,"Sig","Sig"
11,"ABCO",2919,703.49206,0,6.9168824079812e-10,"Sig","Sig"
16,"ABCO",716,813.60562,0,8.33241672360625e-06,"Sig","Sig"
21,"ABCO",314,926.43976,0,2.15508825833405e-07,"Sig","Sig"
1,"CADE",1408,730.5214,0,1.98957832872884e-09,"Sig","Sig"
6,"CADE",1260,845.533,0,1.98905039475575e-07,"Sig","Sig"
11,"CADE",1528,897.596,0,1.33014526037015e-07,"Sig","Sig"
16,"CADE",4656,937.8686,0,1.33876608689118e-11,"Sig","Sig"
21,"CADE",1058,989.206,0.0837538735478946,0.00101644765346985,"NS","Sig"
1,"PILA",146,62.94788,0,3.07226936304284e-10,"Sig","Sig"
6,"PILA",136,58.049884,0,1.3295698188889e-07,"Sig","Sig"
11,"PILA",154,53.514728,0,1.43341394885135e-08,"Sig","Sig"
16,"PILA",212,49.342412,0,2.96171297639381e-08,"Sig","Sig"
21,"PILA",222,45.351474,0,4.53921818370723e-08,"Sig","Sig"
1,"PIPO",94,46.077154,0,4.43242151102755e-08,"Sig","Sig"
6,"PIPO",64,42.811778,0.00188220115265886,2.58259142041991e-05,"Sig","Sig"
11,"PIPO",97,40.81635,0,1.09212990944057e-05,"Sig","Sig"
16,"PIPO",96,39.5465,0,5.61629238159091e-06,"Sig","Sig"
21,"PIPO",64,39.546478,0.0864135742289224,0.000345678209420185,"NS","Sig"
1,"QUCH",84,6.167804,0,1.77053687071113e-10,"Sig","Sig"
6,"QUCH",80,5.44218,0,4.7283595897721e-08,"Sig","Sig"
11,"QUCH",112,5.079368,0,6.61901485747033e-08,"Sig","Sig"
21,"QUCH",114,3.446714,0,1.4882314130132e-08,"Sig","Sig"
1,"QUKE",620,306.39459,0,3.20551456570473e-08,"Sig","Sig"
6,"QUKE",554,303.85506,0,3.02343136276062e-08,"Sig","Sig"
11,"QUKE",1074,294.78428,0,6.19518350604552e-10,"Sig","Sig"
16,"QUKE",1010,284.26298,0,6.73952725079494e-09,"Sig","Sig"
21,"QUKE",502,267.210998,0,1.97940864902078e-06,"Sig","Sig"
