"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",0.0190373106,0.006233498,0.059128930285498,0.000635111965897536,"NS","Sig"
15,"PICO",0.022427097,0.007668518,0.068176431853652,0.00069721076250575,"NS","Sig"
19,"PICO",0.035197701,0.008939828,0.0167129727348638,0.000119686768974279,"Sig","Sig"
24,"PICO",0.0519958362,0.010683156,0.0022788689287547,3.57216796207837e-05,"Sig","Sig"
29,"PICO",0.103346859,0.010020776,0,1.09474909104137e-05,"Sig","Sig"
1,"PIMO",16.1649999126,13.9644814,0,3.16583800476443e-08,"Sig","Sig"
5,"PIMO",13.1327684334,13.8676498,0.479530188909552,0.0957547738531519,"NS","NS"
10,"PIMO",11.2881402942,13.88896,0.236378182826595,0.00125398584656313,"NS","Sig"
15,"PIMO",10.3510630608,14.1694652,0.0680256079311681,0.000349879293305446,"NS","Sig"
19,"PIMO",13.8338227566,14.0448654,0.805553285546241,0.676113215820876,"NS","NS"
24,"PIMO",14.941689147,12.8575902,0.0443090732205791,0.188306604379138,"Sig","NS"
29,"PIMO",15.3791812944,11.459767,0.90457744918194,0.125426941714681,"NS","NS"
