"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,2.0112995,0,0.4898212732498,"Sig","NS"
6,"ABCO",2.4531120768,2.04517418,0.0749027048840696,0.010841919362254,"NS","Sig"
12,"ABCO",2.764403796,2.0424504,0.404940589621002,0.00574228915188362,"NS","Sig"
17,"ABCO",2.9168098806,2.0364282,0.236365416046757,0.0028031516609357,"NS","Sig"
22,"ABCO",3.1693803834,2.03594028,0.15332148146939,0.00175876301119344,"NS","Sig"
27,"ABCO",3.1810207968,2.11246858,0.206514167092838,0.00228593525583516,"NS","Sig"
32,"ABCO",2.799051717,2.20153574,0.712174533155877,0.0196180058820033,"NS","Sig"
17,"CADE",0.0429527406,0.004020588,0,4.96427818707123e-09,"Sig","Sig"
22,"CADE",0.0852543846,0.005361826,0,1.12016329600181e-09,"Sig","Sig"
27,"CADE",0.1486031778,0.006645056,0,4.57107016385182e-10,"Sig","Sig"
32,"CADE",0.2165748354,0.008308182,0,2.92080913976933e-10,"Sig","Sig"
1,"PIJE",15.837382869,15.3086122,0.286725411530253,0.00534892521592678,"NS","Sig"
6,"PIJE",14.924775558,14.9065958,0.00857286692984391,0.939174700129168,"Sig","NS"
12,"PIJE",13.4641726758,14.997746,0.93273671920689,0.0521508304706449,"NS","NS"
17,"PIJE",13.3585167408,14.9648786,0.807124859025626,0.0488933142740695,"NS","Sig"
22,"PIJE",12.6331731372,15.1473572,0.759459887610029,0.00997841860115261,"NS","Sig"
27,"PIJE",11.72548105575,15.4450224,0.919545595853052,0.00612809183528835,"NS","Sig"
32,"PIJE",12.124942368,15.0576792,0.990663889936131,0.00876129577535161,"NS","Sig"
1,"PILA",1.2702792564,1.043885,0,0.385980613820354,"Sig","NS"
6,"PILA",1.307463234,1.01534882,0,0.304108687514987,"Sig","NS"
12,"PILA",0.1791191094,1.04572836,0.55710785590413,0.0272069665564966,"NS","Sig"
17,"PILA",0.2190197856,1.07204156,0.670289734380868,0.0306321825874165,"NS","Sig"
22,"PILA",0.253735251,1.09875848,0.757698160110584,0.0337234010822481,"NS","Sig"
27,"PILA",0.1941336012,1.12622046,0.529000350362336,0.0266590969278377,"NS","Sig"
32,"PILA",0.2190904716,1.15427554,0.582952980786325,0.0282534497356193,"NS","Sig"
1,"QUKE",0.1866534516,0.1897389,0,1,"Sig","NS"
6,"QUKE",0.2005550316,0.19987108,0.186577187663709,0.866482836267208,"NS","NS"
12,"QUKE",0.2375222388,0.19754366,0.0317372975345317,0.0833046283145141,"Sig","NS"
17,"QUKE",0.2624005692,0.1863986,0.680201867336724,0.0242913859538992,"NS","Sig"
22,"QUKE",0.296468865,0.19373184,0.591070890124517,0.00669255149246412,"NS","Sig"
27,"QUKE",0.333892240374,0.19006274,0.27356696477293,0.00271927479281805,"NS","Sig"
32,"QUKE",0.387661659,0.20509222,0.15401493891025,0.0013956470689227,"NS","Sig"
