"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,105.935756,0.000311068564217531,2.08770658326293e-05,"Sig","Sig"
6,"ABMA",104.0460566376,107.549592,0.327621801022239,0.00379073733855782,"NS","Sig"
11,"ABMA",106.759052862,108.908476,0.606043409398638,0.00809938722385,"NS","Sig"
16,"ABMA",109.51215691185,108.95216,0.641797131865189,0.542613232227039,"NS","NS"
21,"ABMA",111.230174055,110.91206,0.747015012252888,0.737449957899226,"NS","NS"
1,"PIMO",0.1356692106,0.13111924,0.030417873262179,0.000499008307531712,"Sig","Sig"
6,"PIMO",0.1492165752,0.14586156,0.295991408408069,0.00422586816570329,"NS","Sig"
11,"PIMO",0.1615779858,0.15992586,0.0202115475316014,0.458504576505363,"Sig","NS"
16,"PIMO",0.1689607458,0.17713886,0.10565009424072,0.0153743778334777,"NS","Sig"
21,"PIMO",0.1747664226,0.19279768,0.239973964190913,0.00260614246023328,"NS","Sig"
