"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",3288,1633.198554,0,6.47629058744663e-12,"Sig","Sig"
6,"ABMA",3116,1638.45894,0,5.80237847592185e-11,"Sig","Sig"
11,"ABMA",3576,1627.57492,0,1.37876683596906e-09,"Sig","Sig"
16,"ABMA",2725,1608.88712,0,2.71952320290341e-09,"Sig","Sig"
21,"ABMA",2462,1604.7172,0,3.10210486313292e-08,"Sig","Sig"
1,"PIMO",14,7.800458,0,9.81279099856268e-06,"Sig","Sig"
6,"PIMO",14,7.800458,0.011903659559283,6.87999141835881e-05,"Sig","Sig"
11,"PIMO",14,7.800458,0.011903659559283,6.87999141835881e-05,"Sig","Sig"
16,"PIMO",14,7.981864,0.011903659559283,5.94147295250069e-05,"Sig","Sig"
21,"PIMO",10,7.800458,0.823724374550944,0.0155826715123083,"NS","Sig"
