"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",7.84891183333333,16.6972692457228
6,"ABCO",5.09081405,5.5057769151
7,"ABCO",13.36594,40.0922667679693
11,"ABCO",8.091184,8.60228985
12,"ABCO",2.17949764,2.764403796
13,"ABCO",13.341338,38.2628026521734
16,"ABCO",8.02418,9.553299294
17,"ABCO",2.04184556,2.9168098806
18,"ABCO",13.575656,41.3628425580136
21,"ABCO",8.284054,10.69337808
22,"ABCO",2.0267656,3.1693803834
23,"ABCO",13.123528,36.7710965314624
27,"ABCO",2.08759524,3.1810207968
28,"ABCO",13.289096,34.8471078648
32,"ABCO",2.1019007,2.799051717
1,"ABMA",107.555284666667,100.076744541416
6,"ABMA",108.706978,102.221860281212
11,"ABMA",110.049617333333,102.775325367944
16,"ABMA",111.449661333333,102.89944666155
21,"ABMA",112.399030666667,103.13073001
28,"ABMA",0.0279867,0.0513777264
1,"CADE",14.6995295,15.806947464165
6,"CADE",27.31292,27.5409322188
7,"CADE",2.20992326,5.59943232804898
11,"CADE",27.26385,29.414679063
13,"CADE",2.29360756,5.9690752853676
16,"CADE",27.814658,30.9835171338
17,"CADE",0.0024472744,0.0429527406
18,"CADE",2.24412042,6.3429422775454
21,"CADE",27.955374,31.682969241
22,"CADE",0.0026337596,0.0852543846
23,"CADE",2.236294,6.74161128197944
27,"CADE",0.003458524,0.1486031778
28,"CADE",2.29635976,7.1695341102
32,"CADE",0.003889728,0.2165748354
1,"PICO",2.902018,3.081968505
6,"PICO",2.7808288,3.1846619112
10,"PICO",0.007843274,0.0190373106
11,"PICO",2.8435224,2.6072719596
15,"PICO",0.00966518,0.022427097
16,"PICO",2.7385066,2.7037732722
19,"PICO",0.011281222,0.035197701
21,"PICO",2.7331008,2.6274677352
24,"PICO",0.01291718,0.0519958362
29,"PICO",0.0144111,0.103346859
1,"PIJE",15.3743878,15.837382869
6,"PIJE",15.5324852,14.924775558
12,"PIJE",14.736023,13.4641726758
17,"PIJE",14.507145,13.3585167408
22,"PIJE",14.4532808,12.6331731372
27,"PIJE",14.4726336,11.72548105575
32,"PIJE",14.1479782,12.124942368
1,"PILA",5.40241306666667,10.587103721121
6,"PILA",1.422739748,1.4939058057
7,"PILA",11.915066,29.3543496913482
11,"PILA",1.7618432,1.975410591
12,"PILA",0.8528391,0.1791191094
13,"PILA",11.1845612,23.7891858553067
16,"PILA",1.7172912,2.3077156872
17,"PILA",0.877815024,0.2190197856
18,"PILA",11.3374196,24.3772380398364
21,"PILA",1.7124154,2.5689467958
22,"PILA",0.879026664,0.253735251
23,"PILA",10.6017152,22.9420109028899
27,"PILA",0.59480391,0.1941336012
28,"PILA",9.4830854,23.7742684872
32,"PILA",0.61169736,0.2190904716
1,"PIMO",7.02259534,8.1503345616
5,"PIMO",13.8021202,13.1327684334
6,"PIMO",0.1271761,0.1492165752
10,"PIMO",13.9312484,11.2881402942
11,"PIMO",0.13820504,0.1615779858
15,"PIMO",12.7435642,10.3510630608
16,"PIMO",0.1510985,0.1689607458
19,"PIMO",12.8557754,13.8338227566
21,"PIMO",0.16703582,0.1747664226
24,"PIMO",11.6454802,14.941689147
29,"PIMO",11.9156404,15.3791812944
1,"PIPO",15.638553,17.41989711
6,"PIPO",14.4888356,11.3079959916
11,"PIPO",12.4042014,11.6126039568
16,"PIPO",11.447219,11.661556368
21,"PIPO",10.09413258,12.0437901276
1,"QUCH",0.076650603,0.083079612
6,"QUCH",0.0730301248,0.0370166874
11,"QUCH",0.0683165924,0.0210078792
21,"QUCH",0.080135448,0.0176605044
1,"QUKE",4.99353414466667,5.13724118549891
6,"QUKE",7.43889319,7.4430457332
7,"QUKE",0.024644571,0.0500865287885017
11,"QUKE",14.6762078,14.9033325672
12,"QUKE",0.2007406,0.2375222388
13,"QUKE",0.026848444,0.0606587963648973
16,"QUKE",14.64545778,15.429069117
17,"QUKE",0.1986226,0.2624005692
18,"QUKE",0.02878169,0.0381028930445755
21,"QUKE",14.35304748,15.3179185236
22,"QUKE",0.18806982,0.296468865
23,"QUKE",0.030514456,0.0413913653667776
27,"QUKE",0.19308954,0.333892240374
28,"QUKE",0.032555312,0.0474397308
32,"QUKE",0.19868664,0.387661659
