"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",38,30,0.634135792828647,0.00619091540688665,"NS","Sig"
6,"ABCO",38,68,0.0701242222849944,0.000436439595991629,"NS","Sig"
12,"ABCO",38,83,0.0216428890191463,6.61696100051017e-05,"Sig","Sig"
17,"ABCO",210,95.8,0,5.19155272178152e-07,"Sig","Sig"
22,"ABCO",42,108.6,0.0148587074518758,5.3357627101738e-05,"Sig","Sig"
27,"ABCO",36,120.4,0,7.06899075641829e-06,"Sig","Sig"
32,"ABCO",24,132.6,0,3.17963463940044e-05,"Sig","Sig"
17,"CADE",10,1.8,0.00100529100529104,2.565355514063e-05,"Sig","Sig"
22,"CADE",20,1.6,0,1.3358351715322e-06,"Sig","Sig"
27,"CADE",25,1.6,0,5.11307588354548e-07,"Sig","Sig"
32,"CADE",30,1.4,0,3.22683879136595e-08,"Sig","Sig"
1,"PIJE",324,139.8,0,1.02149647396629e-10,"Sig","Sig"
6,"PIJE",302,142.2,0,1.19543126506536e-08,"Sig","Sig"
12,"PIJE",270,140.6,0,1.29377607604929e-07,"Sig","Sig"
17,"PIJE",228,140.4,0,6.66268820152667e-07,"Sig","Sig"
22,"PIJE",208,137.8,0,1.2128952593604e-05,"Sig","Sig"
27,"PIJE",202,135.6,0,1.23659690014466e-05,"Sig","Sig"
32,"PIJE",196,132.2,0,4.76965102577412e-06,"Sig","Sig"
1,"PILA",8,4,0,1,"Sig","NS"
6,"PILA",8,3.6,0.551052669237933,0.00291081029141473,"NS","Sig"
12,"PILA",6,3.6,0.957949044164751,0.0608128561545225,"NS","NS"
17,"PILA",4,4.4,0.172474490926429,0.717428359914488,"NS","NS"
22,"PILA",4,4,0.841344317348312,1,"NS","NS"
27,"PILA",4,3.8,0.551052669237933,0.748868450023526,"NS","NS"
32,"PILA",4,3.4,0.365071816334955,0.529133300381858,"NS","NS"
1,"QUKE",202,15.6,0,1.78922566560857e-11,"Sig","Sig"
6,"QUKE",202,15,0,1.96258401174456e-10,"Sig","Sig"
12,"QUKE",200,14.6,0,1.07445751826948e-09,"Sig","Sig"
17,"QUKE",273,13.4,0,4.14270962723911e-10,"Sig","Sig"
22,"QUKE",195,12,0,2.58822528559728e-08,"Sig","Sig"
27,"QUKE",225,12,0,4.92534418067956e-09,"Sig","Sig"
32,"QUKE",248,11.2,0,9.57204750212641e-09,"Sig","Sig"
