"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",39.8128530357684,13.255684,0,1.41658488951822e-10,"Sig","Sig"
7,"ABCO",40.0922667679693,13.36594,0,4.75901926339671e-10,"Sig","Sig"
13,"ABCO",38.2628026521734,13.341338,0,1.97056862311823e-07,"Sig","Sig"
18,"ABCO",41.3628425580136,13.575656,0,7.97645198352726e-08,"Sig","Sig"
23,"ABCO",36.7710965314624,13.123528,0,2.24729282019749e-06,"Sig","Sig"
28,"ABCO",34.8471078648,13.289096,0,2.09142869790991e-06,"Sig","Sig"
28,"ABMA",0.0513777264,0.0279867,0,1,"Sig","NS"
1,"CADE",5.30694234872994,2.275773,0,1,"Sig","NS"
7,"CADE",5.59943232804898,2.20992326,0,4.67166066058492e-07,"Sig","Sig"
13,"CADE",5.9690752853676,2.29360756,0,8.6390423087354e-07,"Sig","Sig"
18,"CADE",6.3429422775454,2.24412042,0,4.47590068884289e-06,"Sig","Sig"
23,"CADE",6.74161128197944,2.236294,0,1.83126422159282e-06,"Sig","Sig"
28,"CADE",7.1695341102,2.29635976,0,1.33860773115551e-06,"Sig","Sig"
1,"PILA",28.925281243563,12.8912764,0,6.01674479397264e-11,"Sig","Sig"
7,"PILA",29.3543496913482,11.915066,0,4.96312260179907e-06,"Sig","Sig"
13,"PILA",23.7891858553067,11.1845612,0,1.81876534883696e-05,"Sig","Sig"
18,"PILA",24.3772380398364,11.3374196,0,1.72244903529323e-05,"Sig","Sig"
23,"PILA",22.9420109028899,10.6017152,0.00939881612558641,4.00025989663937e-05,"Sig","Sig"
28,"PILA",23.7742684872,9.4830854,0.0220414701712561,6.44756271863145e-05,"Sig","Sig"
1,"QUKE",0.0468334004967445,0.028116754,0,1,"Sig","NS"
7,"QUKE",0.0500865287885017,0.024644571,0.0609286847782375,0.013357208983604,"NS","Sig"
13,"QUKE",0.0606587963648973,0.026848444,0.11754405868207,0.00649160832083348,"NS","Sig"
18,"QUKE",0.0381028930445755,0.02878169,0,0.248725208172747,"Sig","NS"
23,"QUKE",0.0413913653667776,0.030514456,0,0.209118943098883,"Sig","NS"
28,"QUKE",0.0474397308,0.032555312,0,0.125391581772249,"Sig","NS"
