"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,397.51128,0,1.14402135767804e-09,"Sig","Sig"
7,"ABCO",1236,647.82214,0,9.33700292175046e-08,"Sig","Sig"
13,"ABCO",1166,751.6444,0,6.54695303815121e-07,"Sig","Sig"
18,"ABCO",1556,845.1555,0,4.30428039851462e-07,"Sig","Sig"
23,"ABCO",1276,932.62234,0,1.86349099850397e-05,"Sig","Sig"
28,"ABCO",1064,1001.42224,0.792018093130255,0.0276181857313789,"NS","Sig"
28,"ABMA",4,0.888889,0,1,"Sig","NS"
1,"CADE",208,46.222268,0,5.46736448389861e-09,"Sig","Sig"
7,"CADE",208,51.5556,0,4.30007735697353e-07,"Sig","Sig"
13,"CADE",208,52.79997,0,3.18355014307698e-06,"Sig","Sig"
18,"CADE",208,54.755548,0,1.37676146288123e-06,"Sig","Sig"
23,"CADE",249,56.88886,0,9.18540199172949e-07,"Sig","Sig"
28,"CADE",247,55.111114,0,3.71142788360092e-07,"Sig","Sig"
1,"PILA",358,84.7999574,0,1.43305167232121e-09,"Sig","Sig"
7,"PILA",342,78.222244,0,4.46659409092967e-08,"Sig","Sig"
13,"PILA",258,71.1111258,0,2.26803165648251e-07,"Sig","Sig"
18,"PILA",232,66.844422,0,4.34935961464816e-08,"Sig","Sig"
23,"PILA",157,60.799978,0,5.50991727390275e-06,"Sig","Sig"
28,"PILA",143,57.0666758,0,1.47685462345133e-05,"Sig","Sig"
1,"QUKE",68,1.777778,0,1,"Sig","NS"
7,"QUKE",68,1.6000002,0,3.08296286768092e-10,"Sig","Sig"
13,"QUKE",68,1.9555558,0,3.85814787191498e-09,"Sig","Sig"
18,"QUKE",61,1.6000002,0,4.81381784379032e-10,"Sig","Sig"
23,"QUKE",73,1.4222224,0,5.13693710611602e-10,"Sig","Sig"
28,"QUKE",64,1.4222224,0,8.79282210328821e-10,"Sig","Sig"
