"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",38,66,0.00830882352941167,4.15620276698598e-10,"Sig","Sig"
6,"ABCO",38,209.6,0,4.16051872491659e-12,"Sig","Sig"
12,"ABCO",38,290,0,1.12010322572284e-12,"Sig","Sig"
17,"ABCO",210,358.4,0,5.8058802106031e-11,"Sig","Sig"
22,"ABCO",42,417.3,0,1.51263282325278e-13,"Sig","Sig"
27,"ABCO",36,471.3,0,1.40198327650427e-12,"Sig","Sig"
32,"ABCO",24,520.4,0,6.3656563523941e-13,"Sig","Sig"
17,"CADE",10,2.6,0,6.20690005013395e-12,"Sig","Sig"
22,"CADE",20,2.5,0,4.5949913759983e-14,"Sig","Sig"
27,"CADE",25,2.5,0,4.79749606089037e-15,"Sig","Sig"
32,"CADE",30,2.5,0,7.89195737063043e-16,"Sig","Sig"
1,"PIJE",324,156.6,0,6.70989973332259e-17,"Sig","Sig"
6,"PIJE",302,216.1,0,8.93929739649725e-11,"Sig","Sig"
12,"PIJE",270,270.2,0.0583738983838229,0.965068563065734,"NS","NS"
17,"PIJE",228,313.9,0.0176387579810373,3.9411544165076e-08,"Sig","Sig"
22,"PIJE",208,346.1,0.00148956356736232,5.26521375223545e-09,"Sig","Sig"
27,"PIJE",202,373.2,0,2.05681325055345e-10,"Sig","Sig"
32,"PIJE",196,398.4,0,1.36268659803707e-12,"Sig","Sig"
1,"PILA",8,4,0.0726660048559035,1.4442142316227e-08,"NS","Sig"
6,"PILA",8,4.4,0.237086218812503,8.98852906108571e-07,"NS","Sig"
12,"PILA",6,5.1,0.0726660048559035,0.121232469890214,"NS","NS"
17,"PILA",4,5,0.509906948792027,0.167850656057075,"NS","NS"
22,"PILA",4,4.6,0.509906948792027,0.328841645818092,"NS","NS"
27,"PILA",4,4.9,0.105952504287685,0.270557437379385,"NS","NS"
32,"PILA",4,5,0.237086218812503,0.286138114170077,"NS","NS"
1,"QUKE",202,16.1,0,1.92022312919037e-26,"Sig","Sig"
6,"QUKE",202,15.8,0,7.07587046755737e-23,"Sig","Sig"
12,"QUKE",200,15.3,0,4.00606397572292e-22,"Sig","Sig"
17,"QUKE",273,14.7,0,1.1916859769473e-22,"Sig","Sig"
22,"QUKE",195,14.2,0,2.44338334406893e-21,"Sig","Sig"
27,"QUKE",225,13.7,0,7.26390378531632e-22,"Sig","Sig"
32,"QUKE",248,13.4,0,1.8683071512502e-21,"Sig","Sig"
