"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1112,593.28795,0,1.38986609835342e-19,"Sig","Sig"
6,"ABMA",1612,686.3496,0,7.76024893179669e-18,"Sig","Sig"
11,"ABMA",3998,724.5353,0,1.42951733999044e-22,"Sig","Sig"
16,"ABMA",1663,763.8095,0,1.65501632503835e-17,"Sig","Sig"
21,"ABMA",1286,795.2836,0,3.01098166282574e-15,"Sig","Sig"
1,"PICO",68,34.467111,0,2.80878744303265e-14,"Sig","Sig"
6,"PICO",70,36.643983,0,8.85609781383967e-13,"Sig","Sig"
11,"PICO",66,38.820875,0,6.03703433923325e-10,"Sig","Sig"
16,"PICO",64,39.999989,0.00014327733044589,4.28462251167e-09,"Sig","Sig"
21,"PICO",60,41.541947,0.0371517031720941,1.68048712050807e-07,"Sig","Sig"
