"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,507.02241,0,4.35458821216531e-20,"Sig","Sig"
7,"ABCO",1236,1093.24449,0.0204283857243451,1.01732649907927e-08,"Sig","Sig"
13,"ABCO",1166,1364.97778,0,1.14881528472384e-09,"Sig","Sig"
18,"ABCO",1556,1605.0665,0.826211964302358,8.41967779900894e-06,"NS","Sig"
23,"ABCO",1276,1837.8662,0,9.08082891866942e-13,"Sig","Sig"
28,"ABCO",1064,2030.40003,0,5.92434148658627e-13,"Sig","Sig"
28,"ABMA",4,0.888889,0,1,"Sig","NS"
1,"CADE",208,45.4222628,0,2.39924966471862e-19,"Sig","Sig"
7,"CADE",208,53.599958,0,1.15761581436079e-18,"Sig","Sig"
13,"CADE",208,59.28889,0,7.91488488449436e-15,"Sig","Sig"
18,"CADE",208,63.20002,0,2.02394129225971e-14,"Sig","Sig"
23,"CADE",249,65.86667,0,4.56833536615172e-14,"Sig","Sig"
28,"CADE",247,67.555578,0,5.06708408359668e-14,"Sig","Sig"
1,"PILA",358,87.822176,0,1.30826208432244e-20,"Sig","Sig"
7,"PILA",342,87.555557,0,6.98938172480386e-18,"Sig","Sig"
13,"PILA",258,82.311116,0,7.00825999015568e-16,"Sig","Sig"
18,"PILA",232,81.422239,0,5.58676255219012e-14,"Sig","Sig"
23,"PILA",157,78.755547,0,6.62849340070044e-11,"Sig","Sig"
28,"PILA",143,76.266663,6.95317133127815e-05,6.75645677487666e-10,"Sig","Sig"
1,"QUKE",68,1.777778,0,1,"Sig","NS"
7,"QUKE",68,1.6888891,0,7.11529897228761e-23,"Sig","Sig"
13,"QUKE",68,1.6888891,0,7.11529897228761e-23,"Sig","Sig"
18,"QUKE",61,1.6000002,0,2.55155891035938e-21,"Sig","Sig"
23,"QUKE",73,1.6000002,0,4.8710130717892e-22,"Sig","Sig"
28,"QUKE",64,1.4222224,0,9.89670584150889e-21,"Sig","Sig"
