"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",25,68.4,0,6.2419528105119e-18,"Sig","Sig"
6,"ABCO",22,186.266666666667,0,1.07154472132303e-19,"Sig","Sig"
12,"ABCO",21,192.133333333333,0,2.18104656656197e-17,"Sig","Sig"
17,"ABCO",193,191.6,0.840980025411978,0.694581249337764,"NS","NS"
18,"ABCO",10,187.733333333333,0,7.32292227415305e-18,"Sig","Sig"
19,"ABCO",49,186.533333333333,0,6.50048605492866e-16,"Sig","Sig"
20,"ABCO",6,188.266666666667,0,3.40750689544258e-19,"Sig","Sig"
21,"ABCO",12,189.4,0,3.02778542064212e-18,"Sig","Sig"
22,"ABCO",24,188.333333333333,0,1.00593015314051e-16,"Sig","Sig"
23,"ABCO",5,184.6,0,4.54879343282333e-16,"Sig","Sig"
24,"ABCO",10,182.466666666667,0,1.46051827654383e-15,"Sig","Sig"
25,"ABCO",1,182.533333333333,0,8.28777550949544e-16,"Sig","Sig"
26,"ABCO",1,180.133333333333,0,2.22384875212798e-16,"Sig","Sig"
27,"ABCO",20,177.866666666667,0,7.72335729885324e-15,"Sig","Sig"
32,"ABCO",13,0,1,1,"NS","NS"
1,"CADE",9,0,0,0,"Sig","Sig"
6,"CADE",9,0,0,0,"Sig","Sig"
12,"CADE",7,0,0,0,"Sig","Sig"
17,"CADE",5,0,0,0,"Sig","Sig"
20,"CADE",3,0,0,0,"Sig","Sig"
22,"CADE",10,0,0,0,"Sig","Sig"
23,"CADE",2,0,0,0,"Sig","Sig"
27,"CADE",13,0,0,0,"Sig","Sig"
32,"CADE",15,0,1,1,"NS","NS"
1,"PIJE",184,3.73333333333333,0,3.00183025802371e-30,"Sig","Sig"
6,"PIJE",171,9.26666666666667,0,2.33512481949924e-26,"Sig","Sig"
12,"PIJE",146,10.5333333333333,0,3.27693109239141e-22,"Sig","Sig"
17,"PIJE",114,9.66666666666667,0,6.43423779148701e-24,"Sig","Sig"
18,"PIJE",1,9.6,0.351349991005535,1.45751860560452e-08,"NS","Sig"
19,"PIJE",4,9.2,0.183048249959822,6.07945942744493e-05,"NS","Sig"
20,"PIJE",1,9.4,0.183048249959822,3.46352617043829e-07,"NS","Sig"
22,"PIJE",104,9.53333333333333,0,2.04203193360643e-25,"Sig","Sig"
23,"PIJE",1,8.8,0.19874107533434,2.63782553773406e-08,"NS","Sig"
24,"PIJE",18,8.33333333333333,0.0249109580916783,1.0496828377788e-09,"Sig","Sig"
25,"PIJE",7,8.73333333333333,0.942024791709002,0.0384910857797436,"NS","Sig"
27,"PIJE",101,9.73333333333333,0,1.85781583700819e-22,"Sig","Sig"
32,"PIJE",99,0,1,1,"NS","NS"
1,"PILA",4,0.4,0,1.38698440363654e-13,"Sig","Sig"
6,"PILA",4,1.53333333333333,0.622063998847332,1.68989411672818e-08,"NS","Sig"
12,"PILA",3,1.13333333333333,0,8.32899373752036e-06,"Sig","Sig"
17,"PILA",2,0.866666666666667,0,3.82889242419252e-05,"Sig","Sig"
22,"PILA",2,0.8,0.622063998847332,9.49196774395698e-05,"NS","Sig"
24,"PILA",1,1,0.110767656131082,1,"NS","NS"
27,"PILA",2,0.533333333333333,0,8.42530242821807e-06,"Sig","Sig"
32,"PILA",2,0,1,1,"NS","NS"
1,"PIMO",1,0,0,0,"Sig","Sig"
6,"PIMO",1,0,0,0,"Sig","Sig"
12,"PIMO",1,0,0,0,"Sig","Sig"
17,"PIMO",1,0,0,0,"Sig","Sig"
1,"QUKE",186,0.2,0,9.62307950529601e-39,"Sig","Sig"
6,"QUKE",183,0.2,0,1.20861197357389e-38,"Sig","Sig"
12,"QUKE",140,0.266666666666667,0,2.11733528238422e-36,"Sig","Sig"
17,"QUKE",176,0.266666666666667,0,8.55150088486042e-38,"Sig","Sig"
18,"QUKE",28,0.133333333333333,0,3.3810279125777e-28,"Sig","Sig"
19,"QUKE",3,0.133333333333333,0,2.07770122018286e-14,"Sig","Sig"
22,"QUKE",100,0.2,0,5.78220995321311e-35,"Sig","Sig"
27,"QUKE",118,0.333333333333333,0,1.54261703598828e-33,"Sig","Sig"
32,"QUKE",127,0,1,1,"NS","NS"
