"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",310,312.259866666667,0.675627034579979,3.60174177879291e-05,"NS","Sig"
6,"ABMA",324,302.7666,0,9.81859170823493e-16,"Sig","Sig"
11,"ABMA",366,330.763533333333,0,2.75965063465676e-13,"Sig","Sig"
16,"ABMA",369,362.449133333333,0.487356564339313,0.00446817323080493,"NS","Sig"
21,"ABMA",401,0,1,1,"NS","NS"
1,"PICO",14,17.1126533333333,0,1.72254382555494e-15,"Sig","Sig"
6,"PICO",16,16.8102933333333,0.0158643459438032,0.0591684222912639,"Sig","NS"
11,"PICO",16,18.6847933333333,0.633667181877164,0.00287159024701978,"NS","Sig"
16,"PICO",16,20.8012,0.808202423753015,0.000647984022046384,"NS","Sig"
21,"PICO",15,0,1,1,"NS","NS"
