"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1665,25.2758866666667,0,1.52948306185276e-40,"Sig","Sig"
6,"ABMA",1562,62.1617533333333,0,8.77643238666067e-34,"Sig","Sig"
8,"ABMA",118,64.52004,0,1.31022494966418e-12,"Sig","Sig"
9,"ABMA",53,63.2501933333333,0.756502627981336,0.000854190808428271,"NS","Sig"
10,"ABMA",55,65.6084666666667,0.680021764638713,0.00014130938152899,"NS","Sig"
11,"ABMA",2099,65.6689266666667,0,5.16584753381047e-35,"Sig","Sig"
12,"ABMA",39,65.85034,0.366363399800416,9.52597693319827e-09,"NS","Sig"
13,"ABMA",5187,66.2131666666667,0,5.40694746452982e-44,"Sig","Sig"
14,"ABMA",11,65.12472,0,2.94259421824206e-16,"Sig","Sig"
15,"ABMA",177,63.0083133333333,0,3.70513243094089e-18,"Sig","Sig"
16,"ABMA",1377,64.0967533333333,0,1.03529260564984e-32,"Sig","Sig"
17,"ABMA",1,65.548,0,1.90438119857456e-16,"Sig","Sig"
18,"ABMA",509,66.8178333333333,0,1.35987616259005e-26,"Sig","Sig"
21,"ABMA",1234,0,1,1,"NS","NS"
22,"ABMA",8,0,1,1,"NS","NS"
1,"PIMO",7,0.0604686666666667,0,3.1900620473863e-22,"Sig","Sig"
6,"PIMO",7,0.241874666666667,0,5.16145624620997e-17,"Sig","Sig"
11,"PIMO",7,0.241874666666667,0,5.16145624620997e-17,"Sig","Sig"
16,"PIMO",7,0.0604686666666667,0,3.1900620473863e-22,"Sig","Sig"
21,"PIMO",5,0,1,1,"NS","NS"
