"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1422,1427.36133333333,0.215424800486902,4.38671230704533e-09,"NS","Sig"
6,"ABMA",1351,1397.854,0,2.72698636231444e-15,"Sig","Sig"
11,"ABMA",1271,1385.21466666667,0,4.34787764121104e-19,"Sig","Sig"
16,"ABMA",1137,1376.266,0,1.76332263658283e-21,"Sig","Sig"
21,"ABMA",1013,0,1,1,"NS","NS"
1,"PIMO",6,7.13530266666667,0.907695292471479,1.55929477966138e-09,"NS","Sig"
6,"PIMO",6,6.83295933333333,0.060092305281057,0.0016494680501651,"NS","Sig"
11,"PIMO",6,5.86546066666667,0,0.651824446741716,"Sig","NS"
16,"PIMO",6,5.623586,0,0.308618093736084,"Sig","NS"
21,"PIMO",3,0,1,1,"NS","NS"
