"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",122.676766666667,168.666666666667
6,"ABCO",57.52435,54
7,"ABCO",252.0887,401
11,"ABCO",113.2883,99
12,"ABCO",10.5,8
13,"ABCO",299.8222,402
16,"ABCO",185.4875,103
17,"ABCO",57.5,8
18,"ABCO",528.089,429
21,"ABCO",448.9796,99
22,"ABCO",166.8,9
23,"ABCO",1017.7784,414
27,"ABCO",0,8
28,"ABCO",0,388
32,"ABCO",0,5
1,"ABMA",553.77222225,553.5
6,"ABMA",736.7,709
7,"ABMA",0.888889,1
11,"ABMA",735.566666666667,684.666666666667
13,"ABMA",0.888889,2
16,"ABMA",739.166666666667,626.333333333333
18,"ABMA",0.888889,2
21,"ABMA",755.633333333333,586.333333333333
23,"ABMA",0.888889,2
28,"ABMA",0,1
1,"CADE",129.6108,142
6,"CADE",179.3686,159
7,"CADE",23.46666,37
11,"CADE",350.7481,290
12,"CADE",3,5
13,"CADE",24.8889,49
16,"CADE",368.1633,256
17,"CADE",3,4
18,"CADE",29.59998,67
21,"CADE",433.6507,199
22,"CADE",3,8
23,"CADE",38.75555,81
27,"CADE",0,9
28,"CADE",0,78
32,"CADE",0,11
1,"PICO",9.38889,8
5,"PICO",1.77778,2
6,"PICO",16.9,16
10,"PICO",1.77778,3
11,"PICO",17,16
15,"PICO",1.77778,5
16,"PICO",17.9,16
19,"PICO",1.77778,6
21,"PICO",19.9,15
24,"PICO",1.6000018,7
29,"PICO",0,8
1,"PIJE",85,85
6,"PIJE",99.5,84
12,"PIJE",147.2,81
17,"PIJE",211.9,74
22,"PIJE",295.8,69
27,"PIJE",0,65
32,"PIJE",0,59
1,"PILA",40.7156366666667,59.6666666666667
6,"PILA",29.1179,31
7,"PILA",64,116
11,"PILA",56.41722,64
12,"PILA",2.2,2
13,"PILA",66.84445,89
16,"PILA",56.78005,85
17,"PILA",2.6,1
18,"PILA",73.24447,69
21,"PILA",58.14058,103
22,"PILA",4.2,1
23,"PILA",83.82223,42
27,"PILA",0,1
28,"PILA",0,37
32,"PILA",0,1
1,"PIMO",14.41111,15.75
5,"PIMO",49.42223,56
6,"PIMO",3.33333333333333,3.33333333333333
10,"PIMO",51.02223,55
11,"PIMO",4.35,4
12,"PIMO",1,1
15,"PIMO",56.08888,61
16,"PIMO",4.45,4
17,"PIMO",1,1
19,"PIMO",62.66666,131
21,"PIMO",4.45,2.5
24,"PIMO",70.66667,140
29,"PIMO",0,156
1,"PIPO",5.8866445,7
6,"PIPO",10.8844,9
7,"PIPO",0.888889,1
11,"PIPO",14.05897,12
16,"PIPO",34.0136,11
21,"PIPO",68.39002,11
1,"QUCH",2.72109,3
6,"QUCH",2.72109,38
11,"QUCH",2.72109,52
16,"QUCH",2.72109,49
21,"QUCH",2.811793,56
1,"QUKE",9.738463,13.3333333333333
6,"QUKE",13.7551,17
7,"QUKE",0.888889,6
11,"QUKE",14.7846,36
12,"QUKE",12,56
13,"QUKE",0.888889,16
16,"QUKE",14.69387,38
17,"QUKE",11.9,92
18,"QUKE",0.888889,26
21,"QUKE",16.87076,35
22,"QUKE",12.3,90
23,"QUKE",0.888889,31
27,"QUKE",0,99
28,"QUKE",0,26
32,"QUKE",0,113
