"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",7.83965310666667,16.6972692457228
6,"ABCO",5.096151725,5.5057769151
7,"ABCO",12.854362,40.0922667679693
11,"ABCO",7.864321,8.60228985
12,"ABCO",1.93279725,2.764403796
13,"ABCO",12.523909,38.2628026521734
16,"ABCO",7.710126,9.553299294
17,"ABCO",1.89995865,2.9168098806
18,"ABCO",12.383565,41.3628425580136
21,"ABCO",7.558176,10.69337808
22,"ABCO",1.89957808,3.1693803834
23,"ABCO",12.041815,36.7710965314624
27,"ABCO",0,3.1810207968
28,"ABCO",0,34.8471078648
32,"ABCO",0,2.799051717
1,"ABMA",100.674119666667,100.076744541416
6,"ABMA",99.8292246666667,102.221860281212
11,"ABMA",99.5540603333333,102.775325367944
16,"ABMA",99.203504,102.89944666155
21,"ABMA",98.6581226666667,103.13073001
28,"ABMA",0,0.0513777264
1,"CADE",14.63862942,15.806947464165
6,"CADE",26.677528,27.5409322188
7,"CADE",2.10637018,5.59943232804898
11,"CADE",25.847457,29.414679063
13,"CADE",2.05352129,5.9690752853676
16,"CADE",25.156666,30.9835171338
17,"CADE",0.009053817,0.0429527406
18,"CADE",2.02262335,6.3429422775454
21,"CADE",24.810741,31.682969241
22,"CADE",0.009652679,0.0852543846
23,"CADE",1.85786627,6.74161128197944
27,"CADE",0,0.1486031778
28,"CADE",0,7.1695341102
32,"CADE",0,0.2165748354
1,"PICO",3.07712744,3.081968505
6,"PICO",3.0221667,3.1846619112
10,"PICO",0.007488902,0.0190373106
11,"PICO",2.9711132,2.6072719596
15,"PICO",0.009793838,0.022427097
16,"PICO",2.9537179,2.7037732722
19,"PICO",0.012090922,0.035197701
21,"PICO",2.8754427,2.6274677352
24,"PICO",0.0161982305,0.0519958362
29,"PICO",0,0.103346859
1,"PIJE",15.3496761,15.837382869
6,"PIJE",15.0657601,14.924775558
12,"PIJE",14.7441145,13.4641726758
17,"PIJE",14.5746289,13.3585167408
22,"PIJE",14.443777,12.6331731372
27,"PIJE",0,11.72548105575
32,"PIJE",0,12.124942368
1,"PILA",5.31375944333333,10.587103721121
6,"PILA",1.587834205,1.4939058057
7,"PILA",11.3563098,29.3543496913482
11,"PILA",1.927922,1.975410591
12,"PILA",1.03142908,0.1791191094
13,"PILA",9.7448272,23.7891858553067
16,"PILA",1.9388875,2.3077156872
17,"PILA",0.92125969,0.2190197856
18,"PILA",9.1081387,24.3772380398364
21,"PILA",1.7387541,2.5689467958
22,"PILA",0.92893255,0.253735251
23,"PILA",8.1254633,22.9420109028899
27,"PILA",0,0.1941336012
28,"PILA",0,23.7742684872
32,"PILA",0,0.2190904716
1,"PIMO",7.23834263,8.1503345616
5,"PIMO",14.0130183,13.1327684334
6,"PIMO",0.13051149,0.1492165752
10,"PIMO",12.0647434,11.2881402942
11,"PIMO",0.13466843,0.1615779858
15,"PIMO",12.1869221,10.3510630608
16,"PIMO",0.13836425,0.1689607458
19,"PIMO",11.5810839,13.8338227566
21,"PIMO",0.13207111,0.1747664226
24,"PIMO",10.1628743,14.941689147
29,"PIMO",0,15.3791812944
1,"PIPO",15.0809081,17.41989711
6,"PIPO",13.618573,11.3079959916
11,"PIPO",11.8701306,11.6126039568
16,"PIPO",10.5873583,11.661556368
21,"PIPO",9.1169188,12.0437901276
1,"QUCH",0.0758431817,0.083079612
6,"QUCH",0.067045715,0.0370166874
11,"QUCH",0.0675478452,0.0210078792
21,"QUCH",0.0548047701,0.0176605044
1,"QUKE",4.98403502656667,5.13724118549891
6,"QUKE",7.20179808,7.4430457332
7,"QUKE",0.025685678,0.0500865287885017
11,"QUKE",13.8798275,14.9033325672
12,"QUKE",0.18509855,0.2375222388
13,"QUKE",0.0262814831,0.0606587963648973
16,"QUKE",13.4348855,15.429069117
17,"QUKE",0.17478664,0.2624005692
18,"QUKE",0.0269040756,0.0381028930445755
21,"QUKE",13.0185391,15.3179185236
22,"QUKE",0.17843754,0.296468865
23,"QUKE",0.0246549513,0.0413913653667776
27,"QUKE",0,0.333892240374
28,"QUKE",0,0.0474397308
32,"QUKE",0,0.387661659
