"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",143.738933333333,309.333333333333
6,"ABCO",710.3745,86.5
7,"ABCO",1303.999,698
8,"ABCO",1500.045,5290
9,"ABCO",1682.631,1984
10,"ABCO",1865.217,1744
11,"ABCO",2044.173,2771
12,"ABCO",1389.694,546
13,"ABCO",2360.9275,637.5
14,"ABCO",2552.563,452
15,"ABCO",2707.574,577
16,"ABCO",2859.774,561
17,"ABCO",1865.8905,210.5
18,"ABCO",2284.82333333333,487
19,"ABCO",1920.3445,37
20,"ABCO",1972.6825,31
21,"ABCO",2498.18033333333,62.3333333333333
22,"ABCO",2050.4995,20
23,"ABCO",2080.483,364
24,"ABCO",2107.01,12
25,"ABCO",2125.3775,2.5
26,"ABCO",0,1
27,"ABCO",0,11
28,"ABCO",0,539
29,"ABCO",0,28
30,"ABCO",0,32
31,"ABCO",0,28
32,"ABCO",0,10.5
1,"ABMA",8.65,751.75
6,"ABMA",69.2,1112
7,"ABMA",38.1,71
8,"ABMA",91.9666666666667,234.666666666667
9,"ABMA",102.633333333333,176
10,"ABMA",114.3,98.3333333333333
11,"ABMA",127.366666666667,2607
12,"ABMA",138.633333333333,119.666666666667
13,"ABMA",110.95,1614.25
14,"ABMA",157.833333333333,116.666666666667
15,"ABMA",167,160
16,"ABMA",177.233333333333,1042.66666666667
17,"ABMA",192.8,36.5
18,"ABMA",145.8,165.75
19,"ABMA",94.8,2.5
21,"ABMA",214.933333333333,825.666666666667
22,"ABMA",151.233333333333,5.33333333333333
23,"ABMA",0,2
28,"ABMA",0,2
1,"CADE",15.6686326333333,286.333333333333
6,"CADE",126.3492,319.5
7,"CADE",19.11112,135
8,"CADE",338.05,525
9,"CADE",375.5104,830
10,"CADE",412.8799,395
11,"CADE",448.4353,915
12,"CADE",243.12925,330.5
13,"CADE",278.517015,136
14,"CADE",558.0045,7565
15,"CADE",591.4739,371
16,"CADE",621.4966,4067
17,"CADE",326.30385,85
18,"CADE",363.26523,96
19,"CADE",45.15555,3
20,"CADE",0,3
21,"CADE",393.954635,581
22,"CADE",267.614866666667,5
23,"CADE",23.86667,66
24,"CADE",48.80001,33
25,"CADE",50.57778,3
26,"CADE",0,34
27,"CADE",0,7
28,"CADE",0,127
29,"CADE",0,6
30,"CADE",0,2
32,"CADE",0,8.5
1,"PICO",0.45,23
5,"PICO",0,12
6,"PICO",4.1,35
8,"PICO",0,1
10,"PICO",3.15,5.5
11,"PICO",6.8,34
13,"PICO",7.4,1
15,"PICO",0,8
16,"PICO",8.2,32
17,"PICO",0,2
19,"PICO",0,9
21,"PICO",8,30
24,"PICO",0,10
29,"PICO",0,9
1,"PIJE",20.2,184
6,"PIJE",105.4,171
12,"PIJE",173.6,146
17,"PIJE",200.4,114
18,"PIJE",101.6,1.5
19,"PIJE",206.3,4
20,"PIJE",103.4,1.5
21,"PIJE",0,2
22,"PIJE",102.65,52.5
23,"PIJE",201.4,1
24,"PIJE",101,11
25,"PIJE",203.5,7
27,"PIJE",0,101
32,"PIJE",0,99
1,"PILA",0.928345533333333,93.6666666666667
6,"PILA",1.929139,37.5
7,"PILA",20.000009,180
8,"PILA",3.446714,80
9,"PILA",3.809526,23
10,"PILA",4.172338,14
11,"PILA",4.716556,84
12,"PILA",4.198981,7.5
13,"PILA",18.717469,75.5
14,"PILA",5.44218,13
15,"PILA",5.532883,38
16,"PILA",6.077101,121
17,"PILA",4.979253,21.5
18,"PILA",37.06666,132
19,"PILA",37.42223,9
20,"PILA",36.97778,5
21,"PILA",21.9365005,58
22,"PILA",15.913227,10.3333333333333
23,"PILA",37.24445,84
24,"PILA",19.88333,3
25,"PILA",36.26666,205
26,"PILA",0,20
27,"PILA",0,2.5
28,"PILA",0,74
30,"PILA",0,6
32,"PILA",0,2
1,"PIMO",0.491666875,37.5
5,"PIMO",6.666671,136
6,"PIMO",0.2,3.66666666666667
10,"PIMO",11.822226,123
11,"PIMO",0.65,4.5
12,"PIMO",0,1
15,"PIMO",15.644438,115
16,"PIMO",6.011112,3.33333333333333
17,"PIMO",8.177779,1
18,"PIMO",16.08889,1
19,"PIMO",16.622229,197
20,"PIMO",15.733338,6
21,"PIMO",6.28518666666667,3
23,"PIMO",17.688902,1
24,"PIMO",17.422218,214
29,"PIMO",0,230
1,"PIPO",7.52834,25
6,"PIPO",77.91386,33
7,"PIPO",0,1
8,"PIPO",101.95006,18
9,"PIPO",112.19964,6
10,"PIPO",121.814,4
11,"PIPO",130.1589,63
12,"PIPO",138.322,991
13,"PIPO",145.5781,7
14,"PIPO",150.4761,51
15,"PIPO",155.4649,551
16,"PIPO",159.3651,65
17,"PIPO",162.6304,5
21,"PIPO",167.1657,33
22,"PIPO",166.9842,4
26,"PIPO",0,4
28,"PIPO",0,1
1,"QUCH",0,77
6,"QUCH",0.272109,40
10,"QUCH",0.362812,1
11,"QUCH",0.362812,59
12,"QUCH",0.453515,2
13,"QUCH",0.453515,3
14,"QUCH",0.453515,2
15,"QUCH",0.453515,2
16,"QUCH",0.453515,49
18,"QUCH",0.453515,1
21,"QUCH",0.362812,57
1,"QUKE",2.70015366666667,188
6,"QUKE",24.40487,230.5
7,"QUKE",0.3555559,61
8,"QUKE",63.85487,712
9,"QUKE",71.20182,616
10,"QUKE",80.54422,532
11,"QUKE",87.80042,794
12,"QUKE",48.68179,262
13,"QUKE",52.19588295,247.5
14,"QUKE",111.83683,266
15,"QUKE",118.2766,405
16,"QUKE",124.5353,738
17,"QUKE",66.88175,221.5
18,"QUKE",46.8523816,286
19,"QUKE",1.0722224,2
20,"QUKE",0.4444448,1
21,"QUKE",78.9976724,127
22,"QUKE",54.9761482666667,36
23,"QUKE",0.4444448,41
24,"QUKE",0.5333337,1
25,"QUKE",0.6222228,1
26,"QUKE",0,5
27,"QUKE",0,60.5
28,"QUKE",0,37
29,"QUKE",0,8
32,"QUKE",0,127
