"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,345.57869,0.643773444130391,6.38280551724196e-05,"NS","Sig"
6,"ABCO",298,1284.44668,0,2.12372631139447e-16,"Sig","Sig"
11,"ABCO",2919,2198.82184,0,1.24342117380821e-12,"Sig","Sig"
16,"ABCO",716,3086.07782,0,1.50924627523169e-16,"Sig","Sig"
21,"ABCO",314,3952.47218,0,1.46833490166857e-16,"Sig","Sig"
1,"CADE",1408,726.53042,0,2.18652348247231e-20,"Sig","Sig"
6,"CADE",1260,919.1838,0,1.4048090606878e-13,"Sig","Sig"
11,"CADE",1528,1099.6825,0,4.70021639421401e-13,"Sig","Sig"
16,"CADE",4656,1281.0885,0,8.76710691733209e-20,"Sig","Sig"
21,"CADE",1058,1457.5961,0,5.19417594922986e-11,"Sig","Sig"
1,"PILA",146,63.764149,0,6.75578942310126e-20,"Sig","Sig"
6,"PILA",136,64.761882,0,8.55920638131105e-17,"Sig","Sig"
11,"PILA",154,66.938768,0,1.53919440308647e-15,"Sig","Sig"
16,"PILA",212,68.480737,0,6.07659460275651e-18,"Sig","Sig"
21,"PILA",222,69.659861,0,6.2735053010686e-17,"Sig","Sig"
1,"PIPO",94,58.04992,0,6.68571872407184e-12,"Sig","Sig"
6,"PIPO",64,116.46266,0.0278600168965491,4.33306338435022e-08,"Sig","Sig"
11,"PIPO",97,167.25642,0.0566801202245802,1.70116123848949e-07,"NS","Sig"
16,"PIPO",96,212.78913,0.0337764690361432,2.87046278003594e-08,"Sig","Sig"
21,"PIPO",64,252.24506,0.0125258037639132,5.13261006240348e-09,"Sig","Sig"
1,"QUCH",84,6.34921,0,1,"Sig","NS"
6,"QUCH",80,6.167804,0,4.79313568354427e-19,"Sig","Sig"
11,"QUCH",112,6.167804,0,5.36919782871369e-20,"Sig","Sig"
21,"QUCH",114,5.532883,0,7.62035769886116e-20,"Sig","Sig"
1,"QUKE",620,306.031561,0,8.84265357789074e-20,"Sig","Sig"
6,"QUKE",554,331.70084,0,5.539891859194e-14,"Sig","Sig"
11,"QUKE",1074,360.27192,0,2.66150811183825e-18,"Sig","Sig"
16,"QUKE",1010,385.03417,0,8.52486308811853e-17,"Sig","Sig"
21,"QUKE",502,407.52836,0.019274761192655,9.56862405686049e-09,"Sig","Sig"
