"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",167,190.8391,0.508435040948655,3.04393623525343e-05,"NS","Sig"
6,"ABCO",151,1131.249,0,1.92275712163635e-16,"Sig","Sig"
8,"ABCO",5290,1500.045,0,2.90176355675851e-21,"Sig","Sig"
9,"ABCO",1984,1682.631,0,1.73622956306751e-10,"Sig","Sig"
10,"ABCO",1744,1865.217,0.292998668382041,2.10166876381754e-06,"NS","Sig"
11,"ABCO",2771,2044.173,0,1.09436809585276e-12,"Sig","Sig"
12,"ABCO",1071,2221.588,0,5.03471482770727e-14,"Sig","Sig"
13,"ABCO",648,2394.922,0,1.43051667114369e-15,"Sig","Sig"
14,"ABCO",452,2552.563,0,3.92511897776551e-16,"Sig","Sig"
15,"ABCO",577,2707.574,0,2.91507698142703e-16,"Sig","Sig"
16,"ABCO",561,2859.774,0,1.17878055614498e-16,"Sig","Sig"
17,"ABCO",228,3004.081,0,6.15130583116531e-17,"Sig","Sig"
18,"ABCO",466,3130.248,0,1.19546663398066e-16,"Sig","Sig"
21,"ABCO",157,3463.674,0,2.53319612608396e-16,"Sig","Sig"
1,"CADE",713,43.62812,0,6.81257245967081e-20,"Sig","Sig"
6,"CADE",630,252.6984,0,2.20083496744614e-14,"Sig","Sig"
8,"CADE",525,338.05,0,1.14003695034818e-10,"Sig","Sig"
9,"CADE",830,375.5104,0,1.68114086582812e-13,"Sig","Sig"
10,"CADE",395,412.8799,0.928675035517177,0.0191092527116848,"NS","Sig"
11,"CADE",915,448.4353,0,7.28886256387466e-14,"Sig","Sig"
12,"CADE",654,486.2585,0,2.29934017249097e-09,"Sig","Sig"
13,"CADE",149,522.8118,0,2.4248993908381e-12,"Sig","Sig"
14,"CADE",7565,558.0045,0,1.53070862906808e-23,"Sig","Sig"
15,"CADE",371,591.4739,0,9.60126636035802e-10,"Sig","Sig"
16,"CADE",4067,621.4966,0,3.66528432420799e-20,"Sig","Sig"
17,"CADE",165,652.6077,0,8.14605034796681e-13,"Sig","Sig"
18,"CADE",87,682.086,0,1.45614073189133e-13,"Sig","Sig"
21,"CADE",531,742.1315,0.000371869440946554,1.4348677601522e-09,"Sig","Sig"
22,"CADE",2,755.5557,0,4.27779796602526e-14,"Sig","Sig"
8,"PICO",1,0,0,0,"Sig","Sig"
1,"PILA",83,0.362812,0,1.48674846059479e-20,"Sig","Sig"
6,"PILA",71,2.358278,0,4.93390019552044e-17,"Sig","Sig"
8,"PILA",80,3.446714,0,2.67393117634607e-15,"Sig","Sig"
9,"PILA",23,3.809526,0,5.5423716136751e-10,"Sig","Sig"
10,"PILA",14,4.172338,0.204082568740752,2.8966609147339e-07,"NS","Sig"
11,"PILA",84,4.716556,0,3.35894608053949e-16,"Sig","Sig"
12,"PILA",12,4.897962,0.212323382034454,9.6430373241656e-07,"NS","Sig"
13,"PILA",15,5.079368,0.0454558989941094,1.67233308867304e-07,"Sig","Sig"
14,"PILA",13,5.44218,0.3122059044226,9.86710499928637e-07,"NS","Sig"
15,"PILA",38,5.532883,0,9.43822028736e-13,"Sig","Sig"
16,"PILA",121,6.077101,0,3.21057432566142e-18,"Sig","Sig"
17,"PILA",41,6.258506,0,3.05614586650408e-12,"Sig","Sig"
21,"PILA",113,6.984131,0,1.58484866843646e-17,"Sig","Sig"
22,"PILA",24,6.984131,0,2.78187131294205e-10,"Sig","Sig"
1,"PIPO",48,15.05668,0,4.72443983342461e-12,"Sig","Sig"
6,"PIPO",33,77.91386,0.0686104965415031,4.66592872914005e-08,"NS","Sig"
8,"PIPO",18,101.95006,0.0132425750144815,1.2537704655027e-09,"Sig","Sig"
9,"PIPO",6,112.19964,0,3.37086391069843e-10,"Sig","Sig"
