"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"PICO",2,1.77778,0,1,"Sig","NS"
5,"PICO",2,1.77778,0,1,"Sig","NS"
10,"PICO",3,1.77778,0,1,"Sig","NS"
15,"PICO",5,1.77778,0,1,"Sig","NS"
19,"PICO",6,1.77778,0,1,"Sig","NS"
24,"PICO",7,1.6000018,0,5.91190413709088e-12,"Sig","Sig"
29,"PICO",8,0,1,1,"NS","NS"
1,"PIMO",53,47.64444,0,3.91249523582993e-11,"Sig","Sig"
5,"PIMO",56,49.42223,0.0726705691535733,4.64089821240834e-07,"NS","Sig"
10,"PIMO",55,51.02223,0.867398508063413,0.00115738624803907,"NS","Sig"
15,"PIMO",61,56.08888,0.996734013385972,0.000189016391754971,"NS","Sig"
19,"PIMO",131,62.66666,0,1.85007039058763e-15,"Sig","Sig"
24,"PIMO",140,70.66667,0,6.47878013629685e-14,"Sig","Sig"
29,"PIMO",156,0,1,1,"NS","NS"
