"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",25,49.8,0.0246137921333203,6.79802996709994e-09,"Sig","Sig"
6,"ABCO",22,289.5,0,8.78296909468289e-14,"Sig","Sig"
12,"ABCO",21,557.8,0,8.2685896955998e-13,"Sig","Sig"
17,"ABCO",193,727.7,0,1.44653398685976e-10,"Sig","Sig"
18,"ABCO",10,758.8,0,1.31838656346179e-11,"Sig","Sig"
19,"ABCO",49,779.8,0,1.65157936999285e-11,"Sig","Sig"
20,"ABCO",6,797.9,0,1.56145967200371e-11,"Sig","Sig"
21,"ABCO",12,813.8,0,1.35575842081182e-11,"Sig","Sig"
22,"ABCO",24,826.6,0,1.76732504230192e-11,"Sig","Sig"
23,"ABCO",5,839.1,0,1.68986484917968e-11,"Sig","Sig"
24,"ABCO",10,848.6,0,4.29437055201983e-11,"Sig","Sig"
25,"ABCO",1,855.2,0,5.76364752350357e-11,"Sig","Sig"
26,"ABCO",1,0,1,1,"NS","NS"
27,"ABCO",20,0,1,1,"NS","NS"
32,"ABCO",13,0,1,1,"NS","NS"
1,"CADE",9,0,0,0,"Sig","Sig"
6,"CADE",9,0,0,0,"Sig","Sig"
12,"CADE",7,0,0,0,"Sig","Sig"
17,"CADE",5,0,0,0,"Sig","Sig"
20,"CADE",3,0,0,0,"Sig","Sig"
22,"CADE",10,0,0,0,"Sig","Sig"
23,"CADE",2,0,0,0,"Sig","Sig"
27,"CADE",13,0,1,1,"NS","NS"
32,"CADE",15,0,1,1,"NS","NS"
1,"PIJE",184,20.2,0,3.78639023895548e-16,"Sig","Sig"
6,"PIJE",171,105.4,0,1.18240347695588e-10,"Sig","Sig"
12,"PIJE",146,173.6,0.258732541085377,0.000275717840139078,"NS","Sig"
17,"PIJE",114,200.4,0.0187744514530944,2.13774567908565e-08,"Sig","Sig"
18,"PIJE",1,203.2,0,9.59165958272025e-11,"Sig","Sig"
19,"PIJE",4,206.3,0,8.49371887193491e-11,"Sig","Sig"
20,"PIJE",1,206.8,0,7.54812024989175e-11,"Sig","Sig"
22,"PIJE",104,205.3,0.0202528164835446,1.59528059295723e-08,"Sig","Sig"
23,"PIJE",1,201.4,0,1.19288211409035e-11,"Sig","Sig"
24,"PIJE",18,202,0,9.25030893491622e-12,"Sig","Sig"
25,"PIJE",7,203.5,0,7.8190755855074e-11,"Sig","Sig"
27,"PIJE",101,0,1,1,"NS","NS"
32,"PIJE",99,0,1,1,"NS","NS"
1,"PILA",4,0.2,0,3.9236284059894e-10,"Sig","Sig"
6,"PILA",4,1.5,0.0246137921333203,1.40343099808312e-06,"Sig","Sig"
12,"PILA",3,3.5,0.729698822463768,0.397384538844923,"NS","NS"
17,"PILA",2,3.7,0.867417720593213,0.0250327979067695,"NS","Sig"
22,"PILA",2,3.6,0.284183511295285,0.0654477590362184,"NS","NS"
24,"PILA",1,2.7,0.448216403324931,0.0486808023443226,"NS","Sig"
27,"PILA",2,0,1,1,"NS","NS"
32,"PILA",2,0,1,1,"NS","NS"
1,"PIMO",1,0,0,0,"Sig","Sig"
6,"PIMO",1,0,0,0,"Sig","Sig"
12,"PIMO",1,0,0,0,"Sig","Sig"
17,"PIMO",1,0,0,0,"Sig","Sig"
1,"QUKE",186,0.3,0,8.77906798468059e-25,"Sig","Sig"
6,"QUKE",183,1.1,0,2.23392766251998e-22,"Sig","Sig"
12,"QUKE",140,1.4,0,3.60739226844212e-20,"Sig","Sig"
17,"QUKE",176,1.7,0,8.17535474210597e-21,"Sig","Sig"
18,"QUKE",28,1.7,0,2.00007255360487e-13,"Sig","Sig"
19,"QUKE",3,1.7,0.729698822463768,0.013275877464573,"NS","Sig"
22,"QUKE",100,1.4,0,1.51445154389763e-18,"Sig","Sig"
27,"QUKE",118,0,1,1,"NS","NS"
32,"QUKE",127,0,1,1,"NS","NS"
