"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",782,13.5,0,7.45295626625483e-23,"Sig","Sig"
6,"ABMA",727,83.5,0,2.02840753828213e-18,"Sig","Sig"
8,"ABMA",423,108.9,0,2.2477735693333e-15,"Sig","Sig"
9,"ABMA",303,120.8,0,1.93251325469341e-12,"Sig","Sig"
10,"ABMA",155,135.1,0.767202329736639,0.000189888927923638,"NS","Sig"
11,"ABMA",2330,151.6,0,1.25384331115947e-22,"Sig","Sig"
12,"ABMA",302,166.3,0,4.68846502358972e-12,"Sig","Sig"
13,"ABMA",49,178.1,0,3.96298907027738e-12,"Sig","Sig"
14,"ABMA",83,189.5,0,6.17318405518151e-12,"Sig","Sig"
15,"ABMA",213,201.3,0.115228122356134,0.00094579191552936,"NS","Sig"
16,"ABMA",698,213.9,0,5.6809106642027e-17,"Sig","Sig"
17,"ABMA",72,224.6,0,1.78748145941607e-11,"Sig","Sig"
18,"ABMA",150,232.7,0.0162893896241304,1.08439719920835e-08,"Sig","Sig"
21,"ABMA",599,257.6,0,2.30128629833659e-14,"Sig","Sig"
22,"ABMA",6,264,0,5.5041538683579e-13,"Sig","Sig"
1,"PIMO",3,0,0,0,"Sig","Sig"
6,"PIMO",3,0,0,0,"Sig","Sig"
11,"PIMO",2,0,0,0,"Sig","Sig"
16,"PIMO",2,0,0,0,"Sig","Sig"
21,"PIMO",2,0,0,0,"Sig","Sig"
