"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,102.660827,0,0.379256405450344,"Sig","NS"
6,"ABMA",105.098893977,101.92168,0.338838254863881,1.66316795027068e-05,"NS","Sig"
11,"ABMA",107.131277484,101.648667,0.0553367766414406,1.60622271121567e-06,"NS","Sig"
16,"ABMA",107.9304031344,101.154154,0.0665215160396574,1.63411712658506e-06,"NS","Sig"
21,"ABMA",109.6955095236,100.348572,0.0668398181047016,1.07515175722632e-07,"NS","Sig"
1,"PICO",3.081968505,3.07712744,0,0.774156119503585,"Sig","NS"
6,"PICO",3.1846619112,3.0221667,0.062367301843165,0.00290909279585304,"NS","Sig"
11,"PICO",2.6072719596,2.9711132,0.826936390838961,0.000181737747483632,"NS","Sig"
16,"PICO",2.7037732722,2.9537179,0.163297621688384,0.00208850920146463,"NS","Sig"
21,"PICO",2.6274677352,2.8754427,0.00961610731694765,0.0245674323178058,"Sig","Sig"
