"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,100.677986,0.571593219510834,0.296145890542252,"NS","NS"
6,"ABMA",104.0460566376,100.211448,0.0648190209486965,3.83566513022202e-07,"NS","Sig"
11,"ABMA",106.759052862,99.988935,0.0469685242582192,6.11293135366538e-08,"Sig","Sig"
16,"ABMA",109.51215691185,99.97368,0,3.55508014551502e-09,"Sig","Sig"
21,"ABMA",111.230174055,100.003721,0.00532593834266543,2.06917531068937e-09,"Sig","Sig"
1,"PIMO",0.1356692106,0.13615726,0.289737722819339,0.000395545220121766,"NS","Sig"
6,"PIMO",0.1492165752,0.13051149,0,0.100836342431298,"Sig","NS"
11,"PIMO",0.1615779858,0.13466843,0,0.0309897585977336,"Sig","Sig"
16,"PIMO",0.1689607458,0.13836425,0,0.0188254741161927,"Sig","Sig"
21,"PIMO",0.1747664226,0.13207111,0,0.0169326870651185,"Sig","Sig"
