"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1665,8.3,0,2.86094352905799e-26,"Sig","Sig"
6,"ABMA",1562,59.5,0,9.85591156722717e-23,"Sig","Sig"
8,"ABMA",118,79.9,0,1.70578076223162e-08,"Sig","Sig"
9,"ABMA",53,89.3,0.0214009870250903,3.10385974841596e-07,"Sig","Sig"
10,"ABMA",55,99.5,0.00632641291810834,4.84775710846609e-08,"Sig","Sig"
11,"ABMA",2099,110.1,0,7.90716956694888e-23,"Sig","Sig"
12,"ABMA",39,119.9,0,2.02071921068134e-10,"Sig","Sig"
13,"ABMA",5187,127.6,0,3.4310384633821e-26,"Sig","Sig"
14,"ABMA",11,138,0,4.03084119998141e-12,"Sig","Sig"
15,"ABMA",177,145.9,0.0427984705722167,9.1113332777437e-07,"Sig","Sig"
16,"ABMA",1377,153.8,0,3.00826072764574e-20,"Sig","Sig"
17,"ABMA",1,161,0,8.14121466740817e-12,"Sig","Sig"
18,"ABMA",509,168.6,0,7.70406699888556e-15,"Sig","Sig"
21,"ABMA",1234,186.5,0,2.30636914450512e-18,"Sig","Sig"
22,"ABMA",8,189.7,0,2.99401107981505e-11,"Sig","Sig"
1,"PIMO",7,0.1,0,1.42519279021014e-13,"Sig","Sig"
6,"PIMO",7,0.6,0.0096218487394957,1.80892685870344e-09,"Sig","Sig"
11,"PIMO",7,1.3,0.0096218487394957,1.60654199296559e-07,"Sig","Sig"
16,"PIMO",7,1.5,0.0096218487394957,1.08606655745202e-06,"Sig","Sig"
21,"PIMO",5,1.7,0.237086218812503,4.05436989279141e-06,"NS","Sig"
