"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",8.225156478,8.15566933333333,0.0149617793164072,0.0555272870536476,"Sig","NS"
6,"ABCO",8.5584417534,8.07466866666667,0.62531571090482,3.65561039011503e-07,"NS","Sig"
11,"ABCO",8.60228985,7.89560133333333,0.633380912597188,1.95842199092684e-06,"NS","Sig"
16,"ABCO",9.553299294,7.69320533333333,0.137030826378402,1.16745385103676e-09,"NS","Sig"
21,"ABCO",10.69337808,7.611864,0.0159028472667877,5.6939395075443e-11,"Sig","Sig"
1,"CADE",26.3069525796,26.9120026666667,0.665879564799859,1.15526808627073e-05,"NS","Sig"
6,"CADE",27.5409322188,26.4345106666667,0.774957291018436,4.27440867536471e-07,"NS","Sig"
11,"CADE",29.414679063,25.8329266666667,0.00602890371328332,4.51126386886476e-12,"Sig","Sig"
16,"CADE",30.9835171338,25.4204733333333,0,5.38093813210517e-14,"Sig","Sig"
21,"CADE",31.682969241,24.364526,0,1.58249839654304e-13,"Sig","Sig"
1,"PILA",1.5657506634,2.0266258,0,5.75755180672015e-22,"Sig","Sig"
6,"PILA",1.6803483774,1.899518,0.443540611651691,0.0038897447801701,"NS","Sig"
11,"PILA",1.975410591,1.83768006666667,0.803993667966453,0.118706682258768,"NS","NS"
16,"PILA",2.3077156872,1.84507473333333,0.927233236628334,0.00012251509802684,"NS","Sig"
21,"PILA",2.5689467958,1.862317,0.781127979506908,1.3342887578413e-06,"NS","Sig"
1,"PIPO",17.41989711,15.5084282,0.00126015965813223,4.37490377876824e-10,"Sig","Sig"
6,"PIPO",11.3079959916,12.6331506,0.193820712893571,0.00382390074675886,"NS","Sig"
11,"PIPO",11.6126039568,10.6147365333333,0.0156070287637675,0.0810421996345191,"Sig","NS"
16,"PIPO",11.661556368,8.8047976,0.490859137747871,0.000184193399702191,"NS","Sig"
21,"PIPO",12.0437901276,7.37262166666667,0.195476959752154,1.77374207350063e-08,"NS","Sig"
1,"QUCH",0.083079612,0.0725416959333333,0,0.000488404341795625,"Sig","Sig"
6,"QUCH",0.0370166874,0.0614712370666667,0.584438094024242,0.000386864076121745,"NS","Sig"
11,"QUCH",0.0210078792,0.0543551973333333,0.974978760393819,0.000179635718801728,"NS","Sig"
21,"QUCH",0.0176605044,0.0524413864,0.680518888931592,0.00022878777923836,"NS","Sig"
1,"QUKE",15.1782367044,14.6477014,0,9.10488141827811e-09,"Sig","Sig"
6,"QUKE",14.6855364348,14.1769004666667,0.125758128644779,3.49406442936544e-06,"NS","Sig"
11,"QUKE",14.9033325672,13.7693046,0.139574295467791,9.96273263406583e-09,"NS","Sig"
16,"QUKE",15.429069117,13.2034426666667,0.00199367225853031,4.61598436423884e-11,"Sig","Sig"
21,"QUKE",15.3179185236,12.8156546,0.0228918881720805,1.24952505494651e-10,"Sig","Sig"
