"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,345.034266666667,0.457996663302983,4.20172820867331e-08,"NS","Sig"
6,"ABCO",298,1292.63796666667,0,4.15492222549929e-26,"Sig","Sig"
11,"ABCO",2919,2203.11441333333,0,2.0749615428373e-19,"Sig","Sig"
16,"ABCO",716,3096.96325333333,0,1.97197911831115e-24,"Sig","Sig"
21,"ABCO",314,3966.50083333333,0,6.2971910294204e-25,"Sig","Sig"
1,"CADE",1408,725.139646666667,0,4.46260691596466e-30,"Sig","Sig"
6,"CADE",1260,913.9228,0,2.14130746751654e-19,"Sig","Sig"
11,"CADE",1528,1104.27846666667,0,4.53494094209392e-20,"Sig","Sig"
16,"CADE",4656,1286.4098,0,5.91151421250114e-33,"Sig","Sig"
21,"CADE",1058,1453.484,0,8.63942205486107e-19,"Sig","Sig"
1,"PILA",146,63.7943833333333,0,5.96263873904082e-32,"Sig","Sig"
6,"PILA",136,65.7898866666667,0,2.48772974111182e-24,"Sig","Sig"
11,"PILA",154,67.059714,0,2.04844231532955e-23,"Sig","Sig"
16,"PILA",212,68.3900273333333,0,4.80168839483402e-26,"Sig","Sig"
21,"PILA",222,70.1436153333333,0,2.55920966841238e-25,"Sig","Sig"
1,"PIPO",94,57.32432,0,4.19957840028795e-20,"Sig","Sig"
6,"PIPO",64,114.648533333333,0,3.37688643859056e-14,"Sig","Sig"
11,"PIPO",97,159.939533333333,0,1.16205723986383e-10,"Sig","Sig"
16,"PIPO",96,198.63956,0,5.32273639236238e-11,"Sig","Sig"
21,"PIPO",64,230.566954666667,0,2.93524057881199e-12,"Sig","Sig"
1,"QUCH",84,6.22827266666667,0,4.96383168185563e-35,"Sig","Sig"
6,"QUCH",80,5.74452333333333,0,4.84367663688911e-29,"Sig","Sig"
11,"QUCH",112,5.50264866666667,0,7.83868843627872e-31,"Sig","Sig"
21,"QUCH",114,5.13983666666667,0,4.47684335904822e-30,"Sig","Sig"
1,"QUKE",620,304.217552666667,0,3.2935869339559e-30,"Sig","Sig"
6,"QUKE",554,331.61028,0,1.92253437247182e-22,"Sig","Sig"
11,"QUKE",1074,356.5833,0,3.0148666244815e-28,"Sig","Sig"
16,"QUKE",1010,379.138373333333,0,1.88533395482058e-26,"Sig","Sig"
21,"QUKE",502,403.80964,0,6.29320612358874e-14,"Sig","Sig"
