"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",167,190.536533333333,0.167693791898892,6.18813509091048e-09,"NS","Sig"
6,"ABCO",151,613.7566,0,1.02355001926453e-21,"Sig","Sig"
8,"ABCO",5290,640.544133333333,0,1.88091476771199e-33,"Sig","Sig"
9,"ABCO",1984,651.3682,0,9.68466100364084e-26,"Sig","Sig"
10,"ABCO",1744,654.452,0,2.08926772047199e-24,"Sig","Sig"
11,"ABCO",2771,652.214733333333,0,4.60540500826509e-27,"Sig","Sig"
12,"ABCO",1071,649.0098,0,4.29462845969621e-17,"Sig","Sig"
13,"ABCO",648,642.176733333333,0.88777530873129,0.57738722388615,"NS","NS"
14,"ABCO",452,638.790666666667,0.0629093667632433,2.51889136486586e-10,"NS","Sig"
15,"ABCO",577,634.195133333333,0.341153538205239,0.000287745553778406,"NS","Sig"
16,"ABCO",561,621.617466666667,0.583808035247388,0.000150031077002227,"NS","Sig"
17,"ABCO",228,625.729533333333,0,3.22571319133072e-15,"Sig","Sig"
18,"ABCO",466,621.1942,0.173344457525917,5.3383898184587e-09,"NS","Sig"
21,"ABCO",157,611.882133333333,0,4.21082485845974e-15,"Sig","Sig"
1,"CADE",713,42.7513133333333,0,6.77701872176632e-31,"Sig","Sig"
6,"CADE",630,130.854133333333,0,1.74304707004253e-24,"Sig","Sig"
8,"CADE",525,142.826933333333,0,1.05889195611033e-24,"Sig","Sig"
9,"CADE",830,148.510933333333,0,2.37654216454696e-27,"Sig","Sig"
10,"CADE",395,145.6084,0,3.79554045770159e-21,"Sig","Sig"
11,"CADE",915,146.9994,0,1.31906691982809e-28,"Sig","Sig"
12,"CADE",654,144.9434,0,1.55567983761262e-24,"Sig","Sig"
13,"CADE",149,143.008333333333,0.809113136321405,0.0240199802884635,"NS","Sig"
14,"CADE",7565,141.375666666667,0,7.10375720353928e-41,"Sig","Sig"
15,"CADE",371,141.315133333333,0,1.32515393516618e-20,"Sig","Sig"
16,"CADE",4067,138.956933333333,0,3.69951873179267e-38,"Sig","Sig"
17,"CADE",165,133.6356,0.738868168948947,5.05647597595879e-08,"NS","Sig"
18,"CADE",87,133.9378,0,1.87960376552394e-10,"Sig","Sig"
21,"CADE",531,125.411933333333,0,7.83898448043073e-24,"Sig","Sig"
22,"CADE",2,126.439866666667,0,3.31437538290559e-17,"Sig","Sig"
8,"PICO",1,0,0,0,"Sig","Sig"
1,"PILA",83,0.362812,0,3.53809363964332e-33,"Sig","Sig"
6,"PILA",71,1.57218533333333,0,4.50503685570168e-27,"Sig","Sig"
8,"PILA",80,1.51171666666667,0,2.22915412123286e-29,"Sig","Sig"
9,"PILA",23,1.14890466666667,0,3.31366740554596e-21,"Sig","Sig"
10,"PILA",14,1.14890466666667,0,1.7020324492905e-18,"Sig","Sig"
11,"PILA",84,1.269842,0,9.98650715546338e-29,"Sig","Sig"
12,"PILA",12,1.20937333333333,0,7.74934746192103e-17,"Sig","Sig"
13,"PILA",15,1.269842,0,3.09921437163762e-18,"Sig","Sig"
14,"PILA",13,0.786092666666667,0,1.53771979403392e-18,"Sig","Sig"
15,"PILA",38,0.786092666666667,0,7.60830142352819e-24,"Sig","Sig"
16,"PILA",121,0.967498666666667,0,4.53061505836142e-32,"Sig","Sig"
17,"PILA",41,0.967498666666667,0,5.21959767208018e-26,"Sig","Sig"
21,"PILA",113,1.39077933333333,0,1.53816264793256e-29,"Sig","Sig"
22,"PILA",24,0.90703,0,2.53247321662888e-22,"Sig","Sig"
1,"PIPO",48,13.9682466666667,0,3.48671472875404e-21,"Sig","Sig"
6,"PIPO",33,37.5510133333333,0.604137289049441,0.00064823981135999,"NS","Sig"
8,"PIPO",18,34.95086,0.0172985297588012,5.71467816092784e-10,"Sig","Sig"
9,"PIPO",6,33.80196,0.0285845814563972,5.17949828604341e-12,"Sig","Sig"
10,"PIPO",4,33.43916,0.0178644936726336,3.61522872183861e-10,"Sig","Sig"
11,"PIPO",63,30.9599266666667,0.0165898112277294,9.40458296144304e-11,"Sig","Sig"
12,"PIPO",991,30.2947813333333,0,3.59614782542442e-31,"Sig","Sig"
13,"PIPO",7,28.1783733333333,0.0608066799474375,6.47810364653399e-09,"NS","Sig"
14,"PIPO",51,27.3922866666667,0.0663848522703967,7.49287731966903e-10,"NS","Sig"
15,"PIPO",551,26.3643333333333,0,2.85481576577549e-28,"Sig","Sig"
16,"PIPO",65,25.2154266666667,0,2.50491284596963e-13,"Sig","Sig"
17,"PIPO",5,24.3688466666667,0.340651296549205,2.79696216718479e-09,"NS","Sig"
21,"PIPO",33,20.2569813333333,0.253764024023032,8.13225964610369e-08,"NS","Sig"
22,"PIPO",4,20.9826313333333,0.0119157128371597,1.89950075649268e-09,"Sig","Sig"
1,"QUCH",77,0,0,0,"Sig","Sig"
6,"QUCH",40,0.120937333333333,0,1.22764530122116e-28,"Sig","Sig"
10,"QUCH",1,0.0604686666666667,0,3.19149797830265e-10,"Sig","Sig"
11,"QUCH",59,0,0,0,"Sig","Sig"
12,"QUCH",2,0,0,0,"Sig","Sig"
13,"QUCH",3,0,0,0,"Sig","Sig"
14,"QUCH",2,0,0,0,"Sig","Sig"
15,"QUCH",2,0,0,0,"Sig","Sig"
16,"QUCH",49,0,0,0,"Sig","Sig"
18,"QUCH",1,0,0,0,"Sig","Sig"
21,"QUCH",57,0,0,0,"Sig","Sig"
1,"QUKE",315,7.49811933333333,0,1.73581852651759e-31,"Sig","Sig"
6,"QUKE",278,32.5925933333333,0,3.36629818622438e-24,"Sig","Sig"
8,"QUKE",712,36.28118,0,3.50404709113739e-32,"Sig","Sig"
9,"QUKE",616,35.4950733333333,0,1.31392176418721e-31,"Sig","Sig"
10,"QUKE",532,35.4346066666667,0,2.0088270333979e-29,"Sig","Sig"
11,"QUKE",794,35.19274,0,1.59511875257059e-32,"Sig","Sig"
