"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.77778,0,1,"Sig","NS"
15,"PICO",14,1.77778,0,1,"Sig","NS"
19,"PICO",16,1.77778,0,1,"Sig","NS"
24,"PICO",18,1.8370392,0,1.74900094709597e-27,"Sig","Sig"
29,"PICO",18,0,1,1,"NS","NS"
1,"PIMO",226,80.9481423333333,0,1.20981468075552e-29,"Sig","Sig"
5,"PIMO",226,89.8962872666667,0,8.33042609374909e-25,"Sig","Sig"
10,"PIMO",216,98.4889024666667,0,1.29268061799322e-21,"Sig","Sig"
15,"PIMO",220,107.792583266667,0,1.19136251052046e-19,"Sig","Sig"
19,"PIMO",387,114.785171066667,0,2.0303184444703e-24,"Sig","Sig"
24,"PIMO",422,123.851853066667,0,8.39317889370718e-25,"Sig","Sig"
29,"PIMO",456,0,1,1,"NS","NS"
