"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"PICO",2,1.77778,0,1,"Sig","NS"
5,"PICO",2,1.77778,0,1,"Sig","NS"
10,"PICO",3,1.77778,0,1,"Sig","NS"
15,"PICO",5,1.77778,0,1,"Sig","NS"
19,"PICO",6,1.77778,0,1,"Sig","NS"
24,"PICO",7,1.77777993333333,0,2.62188185845338e-18,"Sig","Sig"
29,"PICO",8,0,1,1,"NS","NS"
1,"PIMO",53,47.76296,0,3.63701132649684e-17,"Sig","Sig"
5,"PIMO",56,56.11852,0.622103745043284,0.857580361496405,"NS","NS"
10,"PIMO",55,64.0000066666667,0.724926153588112,1.18207844816646e-06,"NS","Sig"
15,"PIMO",61,73.0666533333333,0.72295191669322,1.51135069646656e-07,"NS","Sig"
19,"PIMO",131,79.7629466666667,0,8.38850230907305e-16,"Sig","Sig"
24,"PIMO",140,88.7703666666667,0,3.00141404208367e-15,"Sig","Sig"
29,"PIMO",156,0,1,1,"NS","NS"
