"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,2.02100230666667,0,0.231583933974774,"Sig","NS"
6,"ABCO",2.4531120768,1.9999074,0,2.58384461090494e-07,"Sig","Sig"
12,"ABCO",2.764403796,1.98377988666667,0,6.41756492341154e-10,"Sig","Sig"
17,"ABCO",2.9168098806,1.88665646666667,0.0387141124152905,1.15596979616288e-09,"Sig","Sig"
22,"ABCO",3.1693803834,1.78971496,0.0394947722008883,4.40207542775832e-10,"Sig","Sig"
27,"ABCO",3.1810207968,0,1,1,"NS","NS"
32,"ABCO",2.799051717,0,1,1,"NS","NS"
17,"CADE",0.0429527406,0.009391256,0,9.76065278032812e-18,"Sig","Sig"
22,"CADE",0.0852543846,0.0104297504,0,4.59135825227879e-18,"Sig","Sig"
27,"CADE",0.1486031778,0,1,1,"NS","NS"
32,"CADE",0.2165748354,0,1,1,"NS","NS"
1,"PIJE",15.837382869,15.2750384,0.308448259163172,5.82789407127093e-08,"NS","Sig"
6,"PIJE",14.924775558,14.6326865333333,0.752414610829755,0.142228601715218,"NS","NS"
12,"PIJE",13.4641726758,14.2526231333333,0.972399370281775,0.00275669527465363,"NS","Sig"
17,"PIJE",13.3585167408,14.0051528666667,0.400250109581942,0.0354734694929023,"NS","Sig"
22,"PIJE",12.6331731372,13.8390442,0.398862476990359,0.000254835669281399,"NS","Sig"
27,"PIJE",11.72548105575,0,1,1,"NS","NS"
32,"PIJE",12.124942368,0,1,1,"NS","NS"
1,"PILA",1.2702792564,1.26065496,0,0.253248738564912,"Sig","NS"
6,"PILA",1.307463234,1.27233087333333,0,0.00139756362671996,"Sig","Sig"
12,"PILA",0.1791191094,1.20979021333333,0,2.97362862345574e-09,"Sig","Sig"
17,"PILA",0.2190197856,1.13095032666667,0.128415143635166,6.10226712547561e-07,"NS","Sig"
22,"PILA",0.253735251,1.05096689933333,0.117152105453467,2.31175936233121e-05,"NS","Sig"
27,"PILA",0.1941336012,0,1,1,"NS","NS"
32,"PILA",0.2190904716,0,1,1,"NS","NS"
1,"QUKE",0.1866534516,0.18776106,0.190811716841287,3.96348930756642e-08,"NS","Sig"
6,"QUKE",0.2005550316,0.186194806666667,0.58544297121191,0.000994801333124748,"NS","Sig"
12,"QUKE",0.2375222388,0.186320613333333,0.233610342771061,1.80540489773842e-07,"NS","Sig"
17,"QUKE",0.2624005692,0.19184546,0.0251331711596072,4.35876651072266e-09,"Sig","Sig"
22,"QUKE",0.296468865,0.18925444,0.0547393547764499,1.12135827113987e-09,"NS","Sig"
27,"QUKE",0.333892240374,0,1,1,"NS","NS"
32,"QUKE",0.387661659,0,1,1,"NS","NS"
