"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",5,5,1,1,"NS","NS"
6,"ABCO",7,206.533333333333,0,2.66693044636472e-20,"Sig","Sig"
12,"ABCO",8,494.666666666667,0,7.30320838529505e-22,"Sig","Sig"
17,"ABCO",8,730.066666666667,0,9.75431172613074e-20,"Sig","Sig"
22,"ABCO",9,957.333333333333,0,2.91928700912918e-19,"Sig","Sig"
27,"ABCO",8,0,1,1,"NS","NS"
32,"ABCO",5,0,1,1,"NS","NS"
1,"CADE",3,3,1,1,"NS","NS"
6,"CADE",3,3,1,1,"NS","NS"
12,"CADE",5,3,0,1,"Sig","NS"
17,"CADE",4,3,0,1,"Sig","NS"
22,"CADE",8,2.8,0,5.11806167773644e-17,"Sig","Sig"
27,"CADE",9,0,1,1,"NS","NS"
32,"CADE",11,0,1,1,"NS","NS"
1,"PIJE",85,85,1,1,"NS","NS"
6,"PIJE",84,180.6,0,9.54304175398688e-16,"Sig","Sig"
12,"PIJE",81,295.266666666667,0,2.40930857492394e-20,"Sig","Sig"
17,"PIJE",74,385.133333333333,0,4.98530376934336e-23,"Sig","Sig"
22,"PIJE",69,471.733333333333,0,8.69541480943572e-22,"Sig","Sig"
27,"PIJE",65,0,1,1,"NS","NS"
32,"PIJE",59,0,1,1,"NS","NS"
1,"PILA",3,2,0,1,"Sig","NS"
6,"PILA",2,3.06666666666667,0.622063998847332,0.000736151894929842,"NS","Sig"
12,"PILA",2,4.73333333333333,0.110767656131082,3.80784203033658e-05,"NS","Sig"
17,"PILA",1,6.06666666666667,0.865799296901975,6.56423229383574e-08,"NS","Sig"
22,"PILA",1,7.2,0.110767656131082,6.05818902326112e-09,"NS","Sig"
27,"PILA",1,0,1,1,"NS","NS"
32,"PILA",1,0,1,1,"NS","NS"
1,"PIMO",1,1,1,1,"NS","NS"
6,"PIMO",1,1,1,1,"NS","NS"
12,"PIMO",1,1,1,1,"NS","NS"
17,"PIMO",1,1,1,1,"NS","NS"
1,"QUKE",13,12,0,1,"Sig","NS"
6,"QUKE",16,12.6,0.110767656131082,4.91139104335936e-11,"NS","Sig"
12,"QUKE",56,13.0666666666667,0,7.68312833998275e-26,"Sig","Sig"
17,"QUKE",92,13.6,0,2.66043199579681e-26,"Sig","Sig"
22,"QUKE",90,14,0,1.95927601945017e-25,"Sig","Sig"
27,"QUKE",99,0,1,1,"NS","NS"
32,"QUKE",113,0,1,1,"NS","NS"
