"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",25,48.5333333333333,0,4.76372967811707e-14,"Sig","Sig"
6,"ABCO",22,91.6666666666667,0.00692710606721952,4.84292054585681e-13,"Sig","Sig"
12,"ABCO",21,91.2666666666667,0.0407222866730214,1.187803824011e-10,"Sig","Sig"
17,"ABCO",193,85.6,0,1.73321228449072e-13,"Sig","Sig"
18,"ABCO",10,84.8666666666667,0.059001674372857,7.53864772438858e-11,"NS","Sig"
19,"ABCO",49,84.6666666666667,0.228161037089963,9.05501424624494e-07,"NS","Sig"
20,"ABCO",6,85.4,0.088747771623092,2.64639340322964e-10,"NS","Sig"
21,"ABCO",12,84.1333333333333,0.1026041011208,1.10959962427193e-09,"NS","Sig"
22,"ABCO",24,82.2,0.775750237013511,3.22517273854256e-08,"NS","Sig"
23,"ABCO",5,81.2,0.0608650271938872,3.76572433321979e-10,"NS","Sig"
24,"ABCO",10,80.7333333333333,0.0318700995284441,4.0836579189023e-10,"Sig","Sig"
25,"ABCO",1,78,0.0150177899890324,4.566590533033e-11,"Sig","Sig"
26,"ABCO",1,0,1,1,"NS","NS"
27,"ABCO",20,0,1,1,"NS","NS"
32,"ABCO",13,0,1,1,"NS","NS"
1,"CADE",9,0,0,0,"Sig","Sig"
6,"CADE",9,0,0,0,"Sig","Sig"
12,"CADE",7,0,0,0,"Sig","Sig"
17,"CADE",5,0,0,0,"Sig","Sig"
20,"CADE",3,0,0,0,"Sig","Sig"
22,"CADE",10,0,0,0,"Sig","Sig"
23,"CADE",2,0.0666666666666667,0,6.65878524263288e-14,"Sig","Sig"
27,"CADE",13,0,1,1,"NS","NS"
32,"CADE",15,0,1,1,"NS","NS"
1,"PIJE",184,19.8666666666667,0,1.23551564538181e-25,"Sig","Sig"
6,"PIJE",171,24.8,0,8.99923203491133e-23,"Sig","Sig"
12,"PIJE",146,22.6,0,1.14802872886849e-21,"Sig","Sig"
17,"PIJE",114,21.4,0,2.14833561867012e-21,"Sig","Sig"
18,"PIJE",1,22.0666666666667,0,7.49745165823556e-12,"Sig","Sig"
19,"PIJE",4,22.5333333333333,0.0818207400299615,2.37140400642338e-10,"NS","Sig"
20,"PIJE",1,19.2666666666667,0.00573667711598744,8.40709791531088e-12,"Sig","Sig"
22,"PIJE",104,20.5333333333333,0,2.28218741901344e-18,"Sig","Sig"
23,"PIJE",1,21.7333333333333,0,6.3238099705198e-13,"Sig","Sig"
24,"PIJE",18,20.2666666666667,0.622063998847332,0.0385434719496617,"NS","Sig"
25,"PIJE",7,20.7333333333333,0.622063998847332,2.63058443655862e-07,"NS","Sig"
27,"PIJE",101,0,1,1,"NS","NS"
32,"PIJE",99,0,1,1,"NS","NS"
1,"PILA",4,0.0666666666666667,0,3.4726083134476e-18,"Sig","Sig"
6,"PILA",4,0.466666666666667,0.110767656131082,1.53920623732043e-10,"NS","Sig"
12,"PILA",3,0.466666666666667,0,2.15287875873814e-11,"Sig","Sig"
17,"PILA",2,0.466666666666667,0.110767656131082,1.61201595571413e-08,"NS","Sig"
22,"PILA",2,0.4,0.110767656131082,7.40364778671054e-09,"NS","Sig"
24,"PILA",1,0.533333333333333,0.110767656131082,0.0290407400910985,"NS","Sig"
27,"PILA",2,0,1,1,"NS","NS"
32,"PILA",2,0,1,1,"NS","NS"
1,"PIMO",1,0,0,0,"Sig","Sig"
6,"PIMO",1,0,0,0,"Sig","Sig"
12,"PIMO",1,0,0,0,"Sig","Sig"
17,"PIMO",1,0,0,0,"Sig","Sig"
1,"QUKE",186,0.0666666666666667,0,1.28156093403594e-41,"Sig","Sig"
6,"QUKE",183,0.2,0,1.20861197357389e-38,"Sig","Sig"
12,"QUKE",140,0.2,0,5.16230293682077e-37,"Sig","Sig"
17,"QUKE",176,0.2,0,1.45333596536319e-36,"Sig","Sig"
18,"QUKE",28,0.2,0,3.40996634562564e-27,"Sig","Sig"
19,"QUKE",3,0.133333333333333,0,2.07770122018286e-14,"Sig","Sig"
22,"QUKE",100,0.133333333333333,0,5.87140944031488e-36,"Sig","Sig"
27,"QUKE",118,0,1,1,"NS","NS"
32,"QUKE",127,0,1,1,"NS","NS"
