"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",481,479.8,0.110767656131082,2.1929784251872e-08,"NS","Sig"
6,"ABMA",452,519.133333333333,0,1.70966945998664e-16,"Sig","Sig"
11,"ABMA",417,580.133333333333,0,1.08987114217861e-18,"Sig","Sig"
16,"ABMA",373,645.733333333333,0,1.21787299673576e-20,"Sig","Sig"
21,"ABMA",345,711.333333333333,0,3.06433564645947e-21,"Sig","Sig"
1,"PIMO",3,3,1,1,"NS","NS"
6,"PIMO",3,3,1,1,"NS","NS"
11,"PIMO",2,3,0,1,"Sig","NS"
16,"PIMO",2,3,0,1,"Sig","NS"
21,"PIMO",2,3,0,1,"Sig","NS"
