"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",782,15,0,5.0271417790417e-36,"Sig","Sig"
6,"ABMA",727,35.6666666666667,0,3.24676193085569e-31,"Sig","Sig"
8,"ABMA",423,41.2666666666667,0,2.60022717251256e-26,"Sig","Sig"
9,"ABMA",303,42.6666666666667,0,5.16500681607838e-24,"Sig","Sig"
10,"ABMA",155,41.8,0,1.33012971938906e-19,"Sig","Sig"
11,"ABMA",2330,42.6666666666667,0,1.1330538433003e-37,"Sig","Sig"
12,"ABMA",302,43.3333333333333,0,3.06870205414342e-23,"Sig","Sig"
13,"ABMA",49,42.9333333333333,0.88949786628734,0.0132084221902144,"NS","Sig"
14,"ABMA",83,42.1333333333333,0,2.18626803758006e-11,"Sig","Sig"
15,"ABMA",213,41.8666666666667,0,1.03109869706338e-20,"Sig","Sig"
16,"ABMA",698,42.8666666666667,0,1.43652215546092e-28,"Sig","Sig"
17,"ABMA",72,43.0666666666667,0.253889871725707,1.25986110208518e-08,"NS","Sig"
18,"ABMA",150,41.8666666666667,0,1.19921465887057e-15,"Sig","Sig"
21,"ABMA",599,43.6666666666667,0,9.12929655224243e-28,"Sig","Sig"
22,"ABMA",6,43.8,0,3.42509770869061e-11,"Sig","Sig"
1,"PIMO",3,0,0,0,"Sig","Sig"
6,"PIMO",3,0,0,0,"Sig","Sig"
11,"PIMO",2,0,0,0,"Sig","Sig"
16,"PIMO",2,0,0,0,"Sig","Sig"
21,"PIMO",2,0,0,0,"Sig","Sig"
