"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,102.913941333333,0,0.586652145027438,"Sig","NS"
6,"ABMA",105.098893977,102.410343333333,0.0095739285274658,9.70965461125142e-07,"Sig","Sig"
11,"ABMA",107.131277484,101.692056,0.0572909740457255,4.38151962366022e-09,"NS","Sig"
16,"ABMA",107.9304031344,100.979888,0.0227241084302714,2.83098891019162e-11,"Sig","Sig"
21,"ABMA",109.6955095236,100.072505333333,0.00587744443884794,9.49639291776984e-13,"Sig","Sig"
1,"PICO",3.081968505,3.08833624666667,0,0.240248859617823,"Sig","NS"
6,"PICO",3.1846619112,2.93838088,0.631536199364387,0.00424259224530823,"NS","Sig"
11,"PICO",2.6072719596,2.83973953333333,0.291666765707863,0.0226201831860347,"NS","Sig"
16,"PICO",2.7037732722,2.70027666666667,0.569868808128086,0.977081322252203,"NS","NS"
21,"PICO",2.6274677352,2.57067306666667,0.637350315658145,0.64367908165317,"NS","NS"
