"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",557,11.6666666666667,0,1.11280270260316e-33,"Sig","Sig"
6,"ABMA",1047,29.1333333333333,0,8.69920541391198e-34,"Sig","Sig"
7,"ABMA",139,31.4,0,5.25474783691571e-21,"Sig","Sig"
8,"ABMA",163,31.4666666666667,0,2.44856206711552e-19,"Sig","Sig"
9,"ABMA",172,30.9333333333333,0,2.01264170515564e-21,"Sig","Sig"
10,"ABMA",85,32.3333333333333,0,2.1863734856318e-16,"Sig","Sig"
11,"ABMA",3392,31.2,0,1.09703989949595e-40,"Sig","Sig"
12,"ABMA",18,32.4,0.351349991005535,1.28051070440308e-08,"NS","Sig"
13,"ABMA",1219,34.2,0,9.77617995994156e-36,"Sig","Sig"
14,"ABMA",256,33.8,0,9.7897026259061e-24,"Sig","Sig"
15,"ABMA",90,33.4,0,1.36895899188654e-19,"Sig","Sig"
16,"ABMA",1053,34.4,0,5.57686291215478e-34,"Sig","Sig"
18,"ABMA",2,35.2666666666667,0.00103448275862067,8.58697284020647e-13,"Sig","Sig"
19,"ABMA",4,33.6666666666667,0.0333912146214829,3.90849159912007e-10,"Sig","Sig"
21,"ABMA",644,31.6666666666667,0,5.84724105529791e-29,"Sig","Sig"
1,"PICO",34,0.933333333333333,0,1.0802546993598e-22,"Sig","Sig"
6,"PICO",35,1.93333333333333,0,3.95138546403271e-23,"Sig","Sig"
10,"PICO",1,1.66666666666667,0.110767656131082,0.136168750703885,"NS","NS"
11,"PICO",34,1.93333333333333,0,1.90862742750468e-19,"Sig","Sig"
13,"PICO",1,1.53333333333333,0.351349991005535,0.228903289972631,"NS","NS"
16,"PICO",32,1.33333333333333,0,3.72834704205559e-22,"Sig","Sig"
21,"PICO",30,2.06666666666667,0,2.29330092377597e-20,"Sig","Sig"
