"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,100.456973333333,0.690904581071798,0.786504839362307,"NS","NS"
6,"ABMA",104.0460566376,99.9613733333333,0.384806923546134,2.05206931409222e-07,"NS","Sig"
11,"ABMA",106.759052862,99.5422806666667,0.109402848048751,1.13419789520068e-08,"NS","Sig"
16,"ABMA",109.51215691185,97.9592246666667,0.143913484663204,1.92562901158792e-09,"NS","Sig"
21,"ABMA",111.230174055,97.702568,0.00754925261920922,2.75470693605858e-11,"Sig","Sig"
1,"PIMO",0.1356692106,0.117147446666667,0,0.104047111700063,"Sig","NS"
6,"PIMO",0.1492165752,0.107464133333333,0,0.0059934205243154,"Sig","Sig"
11,"PIMO",0.1615779858,0.105078246666667,0,0.00105125103606571,"Sig","Sig"
16,"PIMO",0.1689607458,0.10953884,0,0.000869682867521599,"Sig","Sig"
21,"PIMO",0.1747664226,0.111778413333333,0,0.000526101589132256,"Sig","Sig"
