"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",736,191.644333333333,0,3.45274982589181e-28,"Sig","Sig"
7,"ABCO",698,344.651933333333,0,5.73534170420826e-21,"Sig","Sig"
13,"ABCO",627,345.362933333333,0,4.40740544282617e-20,"Sig","Sig"
18,"ABCO",985,327.051933333333,0,1.20069883894938e-18,"Sig","Sig"
19,"ABCO",25,323.614866666667,0,4.89538617405686e-14,"Sig","Sig"
20,"ABCO",56,325.688933333333,0.00795098989703724,1.2424859115986e-12,"Sig","Sig"
21,"ABCO",18,326.577733333333,0,8.09155907713078e-14,"Sig","Sig"
22,"ABCO",16,321.1852,0,1.77791761133424e-13,"Sig","Sig"
23,"ABCO",723,324.207333333333,0,7.7684651346714e-15,"Sig","Sig"
24,"ABCO",14,316.859266666667,0,1.17010242206396e-13,"Sig","Sig"
25,"ABCO",4,319.1702,0,2.37680196644666e-13,"Sig","Sig"
27,"ABCO",2,0,1,1,"NS","NS"
28,"ABCO",539,0,1,1,"NS","NS"
29,"ABCO",28,0,1,1,"NS","NS"
30,"ABCO",32,0,1,1,"NS","NS"
31,"ABCO",28,0,1,1,"NS","NS"
32,"ABCO",8,0,1,1,"NS","NS"
1,"ABMA",3,0,0,0,"Sig","Sig"
7,"ABMA",3,0,0,0,"Sig","Sig"
13,"ABMA",2,0,0,0,"Sig","Sig"
18,"ABMA",2,0,0,0,"Sig","Sig"
19,"ABMA",1,0,0,0,"Sig","Sig"
22,"ABMA",2,0,0,0,"Sig","Sig"
23,"ABMA",2,0,0,0,"Sig","Sig"
28,"ABMA",2,0,1,1,"NS","NS"
1,"CADE",137,2.2518538,0,7.43860974196688e-30,"Sig","Sig"
7,"CADE",135,5.51111,0,5.41345748391839e-27,"Sig","Sig"
13,"CADE",123,6.16296333333333,0,8.48898347152454e-26,"Sig","Sig"
18,"CADE",105,5.80740333333333,0,1.05300454447509e-24,"Sig","Sig"
19,"CADE",3,5.98518466666667,0.496391530881976,1.52301024240074e-05,"NS","Sig"
21,"CADE",631,5.86666666666667,0,7.85009442905517e-36,"Sig","Sig"
22,"CADE",3,6.04444466666667,0.865780702360258,6.4833984924847e-05,"NS","Sig"
23,"CADE",130,6.577782,0,2.0629563537629e-25,"Sig","Sig"
24,"CADE",33,5.62962933333333,0,2.75587952641672e-18,"Sig","Sig"
25,"CADE",3,5.39259466666667,0.0102209557540383,0.00068454374801545,"Sig","Sig"
26,"CADE",34,0,1,1,"NS","NS"
27,"CADE",1,0,1,1,"NS","NS"
28,"CADE",127,0,1,1,"NS","NS"
29,"CADE",6,0,1,1,"NS","NS"
30,"CADE",2,0,1,1,"NS","NS"
32,"CADE",2,0,1,1,"NS","NS"
1,"PILA",194,3.674076,0,1.4310255632339e-31,"Sig","Sig"
7,"PILA",180,7.17037,0,1.21847387531333e-28,"Sig","Sig"
13,"PILA",136,6.22222126666667,0,4.59824862140182e-26,"Sig","Sig"
18,"PILA",132,4.44444466666667,0,8.01857844677639e-28,"Sig","Sig"
19,"PILA",9,4.56296326666667,0.450507458944327,1.80334340259357e-06,"NS","Sig"
20,"PILA",5,5.037036,0.675629471267272,0.92981474865956,"NS","NS"
21,"PILA",3,5.688888,0.264425207528056,5.70044644188585e-05,"NS","Sig"
22,"PILA",5,4.799998,0.675629471267272,0.656848939774195,"NS","NS"
23,"PILA",84,4.8000026,0,1.02601107029921e-21,"Sig","Sig"
24,"PILA",5,4.56296266666667,0,0.240152642430913,"Sig","NS"
25,"PILA",205,4.44444466666667,0,9.29761568069331e-30,"Sig","Sig"
26,"PILA",20,0,1,1,"NS","NS"
27,"PILA",3,0,1,1,"NS","NS"
28,"PILA",74,0,1,1,"NS","NS"
30,"PILA",6,0,1,1,"NS","NS"
1,"PIPO",2,0,0,0,"Sig","Sig"
7,"PIPO",1,0,0,0,"Sig","Sig"
26,"PIPO",4,0,1,1,"NS","NS"
28,"PIPO",1,0,1,1,"NS","NS"
1,"QUKE",63,0.0592592666666667,0,9.49576904669692e-36,"Sig","Sig"
7,"QUKE",61,0,0,0,"Sig","Sig"
13,"QUKE",50,0.0592592666666667,0,2.42206343908187e-34,"Sig","Sig"
18,"QUKE",34,0.0592592666666667,0,5.3999700419615e-32,"Sig","Sig"
19,"QUKE",1,0.118518533333333,0.228160581768361,3.12449691119337e-08,"NS","Sig"
20,"QUKE",1,0.118518533333333,0.228160581768361,3.12449691119337e-08,"NS","Sig"
21,"QUKE",2,0.118518533333333,0.0429537124063874,1.34569318636492e-12,"Sig","Sig"
22,"QUKE",6,0.1777778,0,2.05106992545685e-18,"Sig","Sig"
23,"QUKE",41,0.118518533333333,0,3.04088603347164e-31,"Sig","Sig"
24,"QUKE",1,0.0592592666666667,0,2.39837722641884e-10,"Sig","Sig"
25,"QUKE",1,0.118518533333333,0.228160581768361,3.12449691119337e-08,"NS","Sig"
26,"QUKE",5,0,1,1,"NS","NS"
27,"QUKE",3,0,1,1,"NS","NS"
28,"QUKE",37,0,1,1,"NS","NS"
29,"QUKE",8,0,1,1,"NS","NS"
